Combination,Scale,Notch,Artifact_Filter,Burst_Filter,Model,Test_Recall,Train_Recall,Train_Test_Delta,Test_N,Diff_from_Baseline,Compared_To,Delta,Wilcoxon_p,Significant
Inter|Notch|Art|NoBurst|RF,Inter,Notch,Art,NoBurst,RF,0.7485415374434737,0.8519455816526826,0.1034040442092089,200.72,3,Intra|Notch|Art|NoBurst|RF,0.20468945018486406,0.0027848482131958008,SIG
Inter|Notch|Art|NoBurst|RF,Inter,Notch,Art,NoBurst,RF,0.7485415374434737,0.8519455816526826,0.1034040442092089,200.72,3,Inter|Notch|NoArt|NoBurst|RF,0.12362166050426115,0.005578815937042236,SIG
Inter|Notch|Art|NoBurst|RF,Inter,Notch,Art,NoBurst,RF,0.7485415374434737,0.8519455816526826,0.1034040442092089,200.72,3,Inter|Notch|Art|NoBurst|EI,0.6248207104166871,5.960464477539062e-07,SIG
Inter|Notch|NoArt|Burst|EI,Inter,Notch,NoArt,Burst,EI,0.17006600875699524,0.1830416981716674,0.01297568941467217,254.4,2,Intra|Notch|NoArt|Burst|EI,-0.32097449838127656,8.803606033325195e-05,SIG
Inter|Notch|NoArt|Burst|EI,Inter,Notch,NoArt,Burst,EI,0.17006600875699524,0.1830416981716674,0.01297568941467217,254.4,2,Inter|Notch|NoArt|NoBurst|EI,0.0041692919999870015,0.005062032126267864,SIG
Inter|Notch|NoArt|Burst|RF,Inter,Notch,NoArt,Burst,RF,0.7144662213239489,0.849193772763839,0.13472755143989013,254.4,3,Intra|Notch|NoArt|Burst|RF,0.16423458414275327,0.010510802268981934,SIG
Inter|Notch|NoArt|Burst|RF,Inter,Notch,NoArt,Burst,RF,0.7144662213239489,0.849193772763839,0.13472755143989013,254.4,3,Inter|Notch|NoArt|NoBurst|RF,0.0895463443847363,0.003251984444229163,SIG
Inter|Notch|NoArt|Burst|RF,Inter,Notch,NoArt,Burst,RF,0.7144662213239489,0.849193772763839,0.13472755143989013,254.4,3,Inter|Notch|NoArt|Burst|EI,0.5444002125669536,4.172325134277344e-06,SIG
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.12759554528512176,0.14530231853364375,0.01770677324852199,200.0,3,Intra|Notch|Art|Burst|EI,-0.36044825028002725,3.1948089599609375e-05,SIG
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.12759554528512176,0.14530231853364375,0.01770677324852199,200.0,3,Inter|Notch|Art|NoBurst|EI,0.0038747182583351164,0.1548598252820037,ns
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.12759554528512176,0.14530231853364375,0.01770677324852199,200.0,3,Inter|Notch|NoArt|Burst|EI,-0.04247046347187347,0.00014360856762163124,SIG
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.7992819917910325,0.8832799901074037,0.08399799831637111,200.0,4,Intra|Notch|Art|Burst|RF,0.24954949030405793,0.00032907724380493164,SIG
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.7992819917910325,0.8832799901074037,0.08399799831637111,200.0,4,Inter|Notch|Art|NoBurst|RF,0.050740454347558805,0.7089053094753638,ns
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.7992819917910325,0.8832799901074037,0.08399799831637111,200.0,4,Inter|Notch|NoArt|Burst|RF,0.08481577046708366,0.07547956705093384,ns
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.7992819917910325,0.8832799901074037,0.08399799831637111,200.0,4,Inter|Notch|Art|Burst|EI,0.6716864465059108,5.960464477539063e-08,SIG
