max_depth,min_samples_leaf,n_estimators,mean_inner_recall,pid
5,10,200,0.833,11
5,10,300,0.8285,11
2,3,100,0.842,12
2,3,200,0.8416,12
2,3,300,0.8416,12
2,5,100,0.8439,12
2,5,200,0.8416,12
2,5,300,0.832,12
2,10,100,0.8611,12
2,10,200,0.8615,12
2,10,300,0.8615,12
3,3,100,0.842,12
3,3,200,0.8416,12
3,3,300,0.8416,12
3,5,100,0.8439,12
3,5,200,0.8416,12
3,5,300,0.832,12
3,10,100,0.8611,12
3,10,200,0.8615,12
3,10,300,0.8615,12
5,3,100,0.842,12
5,3,200,0.8364,12
5,3,300,0.8416,12
5,5,100,0.8439,12
5,5,200,0.8416,12
5,5,300,0.832,12
5,10,100,0.8611,12
5,10,200,0.8615,12
5,10,300,0.8615,12
2,3,100,0.5937,13
2,3,200,0.6017,13
2,3,300,0.6079,13
2,5,100,0.6075,13
2,5,200,0.5923,13
2,5,300,0.6031,13
2,10,100,0.5766,13
2,10,200,0.6014,13
2,10,300,0.6155,13
3,3,100,0.5805,13
3,3,200,0.5702,13
3,3,300,0.5832,13
3,5,100,0.5942,13
3,5,200,0.5772,13
3,5,300,0.5821,13
3,10,100,0.5764,13
3,10,200,0.5881,13
3,10,300,0.5882,13
5,3,100,0.5832,13
5,3,200,0.5833,13
5,3,300,0.5948,13
5,5,100,0.5814,13
5,5,200,0.5841,13
5,5,300,0.5812,13
5,10,100,0.5764,13
5,10,200,0.5842,13
5,10,300,0.5882,13
2,3,100,0.4583,14
2,3,200,0.4444,14
2,3,300,0.4611,14
2,5,100,0.4507,14
2,5,200,0.4501,14
2,5,300,0.4528,14
2,10,100,0.435,14
2,10,200,0.4136,14
2,10,300,0.43,14
3,3,100,0.4483,14
3,3,200,0.4575,14
3,3,300,0.4761,14
3,5,100,0.4616,14
3,5,200,0.4587,14
3,5,300,0.4807,14
3,10,100,0.4617,14
3,10,200,0.4371,14
3,10,300,0.436,14
5,3,100,0.4727,14
5,3,200,0.4795,14
5,3,300,0.4908,14
5,5,100,0.4659,14
5,5,200,0.462,14
5,5,300,0.4959,14
5,10,100,0.4538,14
5,10,200,0.4397,14
5,10,300,0.4407,14
2,3,100,0.6115,15
2,3,200,0.5948,15
2,3,300,0.6049,15
2,5,100,0.6257,15
2,5,200,0.5979,15
2,5,300,0.5987,15
2,10,100,0.5949,15
2,10,200,0.5737,15
2,10,300,0.5788,15
3,3,100,0.6232,15
3,3,200,0.6207,15
3,3,300,0.6061,15
3,5,100,0.6334,15
3,5,200,0.6208,15
3,5,300,0.6133,15
3,10,100,0.5815,15
3,10,200,0.5746,15
3,10,300,0.5877,15
5,3,100,0.6176,15
5,3,200,0.6264,15
5,3,300,0.6376,15
5,5,100,0.6308,15
5,5,200,0.6179,15
5,5,300,0.627,15
5,10,100,0.5787,15
5,10,200,0.5831,15
5,10,300,0.5875,15
2,3,100,0.7513,17
2,3,200,0.7235,17
2,3,300,0.7307,17
2,5,100,0.7486,17
2,5,200,0.7308,17
2,5,300,0.7345,17
2,10,100,0.7368,17
2,10,200,0.7284,17
2,10,300,0.7337,17
3,3,100,0.7494,17
3,3,200,0.7284,17
3,3,300,0.7302,17
3,5,100,0.7344,17
3,5,200,0.7214,17
3,5,300,0.7236,17
3,10,100,0.7248,17
3,10,200,0.717,17
3,10,300,0.723,17
5,3,100,0.7229,17
5,3,200,0.7161,17
5,3,300,0.7237,17
5,5,100,0.6881,17
5,5,200,0.705,17
5,5,300,0.7039,17
5,10,100,0.7093,17
5,10,200,0.7058,17
5,10,300,0.7003,17
2,3,100,0.7078,18
2,3,200,0.7167,18
2,3,300,0.7175,18
2,5,100,0.7098,18
2,5,200,0.7199,18
2,5,300,0.7105,18
2,10,100,0.7222,18
2,10,200,0.7232,18
2,10,300,0.7264,18
3,3,100,0.6918,18
3,3,200,0.7016,18
3,3,300,0.7068,18
3,5,100,0.7012,18
3,5,200,0.712,18
3,5,300,0.7151,18
3,10,100,0.6996,18
3,10,200,0.7225,18
3,10,300,0.7167,18
5,3,100,0.6766,18
5,3,200,0.6881,18
5,3,300,0.6941,18
5,5,100,0.7,18
5,5,200,0.6884,18
5,5,300,0.705,18
5,10,100,0.713,18
5,10,200,0.7134,18
5,10,300,0.7099,18
2,3,100,0.4906,20
2,3,200,0.5118,20
2,3,300,0.51,20
2,5,100,0.5014,20
2,5,200,0.5103,20
2,5,300,0.5156,20
2,10,100,0.5126,20
2,10,200,0.5142,20
2,10,300,0.5148,20
3,3,100,0.4882,20
3,3,200,0.5096,20
3,3,300,0.519,20
3,5,100,0.4934,20
3,5,200,0.5088,20
3,5,300,0.5206,20
3,10,100,0.5164,20
3,10,200,0.5191,20
3,10,300,0.5252,20
5,3,100,0.5304,20
5,3,200,0.5316,20
5,3,300,0.5263,20
5,5,100,0.5127,20
5,5,200,0.5435,20
5,5,300,0.5418,20
5,10,100,0.5315,20
5,10,200,0.5371,20
5,10,300,0.52,20
2,3,100,0.4647,21
2,3,200,0.4393,21
2,3,300,0.4569,21
2,5,100,0.4387,21
2,5,200,0.4466,21
2,5,300,0.4569,21
2,10,100,0.4496,21
2,10,200,0.4411,21
2,10,300,0.4409,21
3,3,100,0.4934,21
3,3,200,0.4686,21
3,3,300,0.4848,21
3,5,100,0.4606,21
3,5,200,0.4596,21
3,5,300,0.4702,21
3,10,100,0.4483,21
3,10,200,0.4464,21
3,10,300,0.4444,21
5,3,100,0.49,21
5,3,200,0.4693,21
5,3,300,0.4613,21
5,5,100,0.4676,21
5,5,200,0.4688,21
5,5,300,0.4567,21
5,10,100,0.4617,21
5,10,200,0.4531,21
5,10,300,0.4444,21
2,3,100,0.7283,22
2,3,200,0.7588,22
2,3,300,0.7737,22
2,5,100,0.7117,22
2,5,200,0.7415,22
2,5,300,0.7478,22
2,10,100,0.7725,22
2,10,200,0.7701,22
2,10,300,0.7984,22
3,3,100,0.7393,22
3,3,200,0.7503,22
3,3,300,0.7537,22
3,5,100,0.7051,22
3,5,200,0.7348,22
3,5,300,0.7329,22
3,10,100,0.777,22
3,10,200,0.7618,22
3,10,300,0.7984,22
5,3,100,0.7349,22
5,3,200,0.7423,22
5,3,300,0.7482,22
5,5,100,0.7221,22
5,5,200,0.7282,22
5,5,300,0.7368,22
5,10,100,0.7667,22
5,10,200,0.7618,22
5,10,300,0.7984,22
2,3,100,0.7468,23
2,3,200,0.7431,23
2,3,300,0.7399,23
2,5,100,0.7438,23
2,5,200,0.7398,23
2,5,300,0.7399,23
2,10,100,0.7393,23
2,10,200,0.7368,23
2,10,300,0.7395,23
3,3,100,0.7564,23
3,3,200,0.7524,23
3,3,300,0.7543,23
3,5,100,0.7476,23
3,5,200,0.7477,23
3,5,300,0.7531,23
3,10,100,0.7352,23
3,10,200,0.7371,23
3,10,300,0.7513,23
5,3,100,0.7533,23
5,3,200,0.7593,23
5,3,300,0.7695,23
5,5,100,0.7533,23
5,5,200,0.7668,23
5,5,300,0.7658,23
5,10,100,0.7267,23
5,10,200,0.7416,23
5,10,300,0.7529,23
2,3,100,0.8765,24
2,3,200,0.8815,24
2,3,300,0.8796,24
2,5,100,0.872,24
2,5,200,0.8771,24
2,5,300,0.8801,24
2,10,100,0.8711,24
2,10,200,0.8761,24
2,10,300,0.8775,24
3,3,100,0.8642,24
3,3,200,0.8756,24
3,3,300,0.8784,24
3,5,100,0.866,24
3,5,200,0.8708,24
3,5,300,0.8721,24
3,10,100,0.857,24
3,10,200,0.8692,24
3,10,300,0.8742,24
5,3,100,0.8558,24
5,3,200,0.8682,24
5,3,300,0.8663,24
5,5,100,0.8614,24
5,5,200,0.8765,24
5,5,300,0.8733,24
5,10,100,0.8531,24
5,10,200,0.863,24
5,10,300,0.8645,24
2,3,100,0.7183,25
2,3,200,0.7141,25
2,3,300,0.7406,25
2,5,100,0.7091,25
2,5,200,0.72,25
2,5,300,0.7257,25
2,10,100,0.7035,25
2,10,200,0.7042,25
2,10,300,0.71,25
