max_depth,min_samples_leaf,n_estimators,mean_inner_recall,pid
5,10,200,0.7452,11
5,10,300,0.7469,11
2,3,100,0.7475,12
2,3,200,0.7488,12
2,3,300,0.7498,12
2,5,100,0.7505,12
2,5,200,0.7489,12
2,5,300,0.7507,12
2,10,100,0.7496,12
2,10,200,0.7511,12
2,10,300,0.7509,12
3,3,100,0.791,12
3,3,200,0.788,12
3,3,300,0.792,12
3,5,100,0.7922,12
3,5,200,0.7901,12
3,5,300,0.79,12
3,10,100,0.7901,12
3,10,200,0.7839,12
3,10,300,0.7849,12
5,3,100,0.838,12
5,3,200,0.8373,12
5,3,300,0.8386,12
5,5,100,0.8272,12
5,5,200,0.8257,12
5,5,300,0.8353,12
5,10,100,0.8188,12
5,10,200,0.8137,12
5,10,300,0.8116,12
2,3,100,0.6556,13
2,3,200,0.6529,13
2,3,300,0.6597,13
2,5,100,0.6506,13
2,5,200,0.6489,13
2,5,300,0.6564,13
2,10,100,0.6521,13
2,10,200,0.6465,13
2,10,300,0.6554,13
3,3,100,0.6726,13
3,3,200,0.6746,13
3,3,300,0.68,13
3,5,100,0.6652,13
3,5,200,0.6683,13
3,5,300,0.6738,13
3,10,100,0.661,13
3,10,200,0.6637,13
3,10,300,0.67,13
5,3,100,0.7352,13
5,3,200,0.7392,13
5,3,300,0.7399,13
5,5,100,0.7225,13
5,5,200,0.7299,13
5,5,300,0.7324,13
5,10,100,0.7322,13
5,10,200,0.7281,13
5,10,300,0.7244,13
2,3,100,0.725,14
2,3,200,0.7307,14
2,3,300,0.7285,14
2,5,100,0.7254,14
2,5,200,0.7312,14
2,5,300,0.7278,14
2,10,100,0.7244,14
2,10,200,0.7288,14
2,10,300,0.726,14
3,3,100,0.7775,14
3,3,200,0.7847,14
3,3,300,0.7799,14
3,5,100,0.7763,14
3,5,200,0.7824,14
3,5,300,0.781,14
3,10,100,0.77,14
3,10,200,0.7795,14
3,10,300,0.7771,14
5,3,100,0.853,14
5,3,200,0.8542,14
5,3,300,0.8526,14
5,5,100,0.8468,14
5,5,200,0.8418,14
5,5,300,0.8453,14
5,10,100,0.8198,14
5,10,200,0.8207,14
5,10,300,0.8216,14
2,3,100,0.7531,15
2,3,200,0.7454,15
2,3,300,0.7459,15
2,5,100,0.7514,15
2,5,200,0.7483,15
2,5,300,0.7453,15
2,10,100,0.7511,15
2,10,200,0.7497,15
2,10,300,0.7449,15
3,3,100,0.7748,15
3,3,200,0.7727,15
3,3,300,0.7723,15
3,5,100,0.7706,15
3,5,200,0.7744,15
3,5,300,0.7703,15
3,10,100,0.7636,15
3,10,200,0.771,15
3,10,300,0.7672,15
5,3,100,0.8203,15
5,3,200,0.8212,15
5,3,300,0.8208,15
5,5,100,0.8188,15
5,5,200,0.8179,15
5,5,300,0.8138,15
5,10,100,0.7934,15
5,10,200,0.799,15
5,10,300,0.7961,15
2,3,100,0.8238,17
2,3,200,0.8268,17
2,3,300,0.824,17
2,5,100,0.824,17
2,5,200,0.8233,17
2,5,300,0.8218,17
2,10,100,0.8149,17
2,10,200,0.8159,17
2,10,300,0.8117,17
3,3,100,0.8501,17
3,3,200,0.8531,17
3,3,300,0.8527,17
3,5,100,0.8466,17
3,5,200,0.8429,17
3,5,300,0.8454,17
3,10,100,0.8296,17
3,10,200,0.8321,17
3,10,300,0.8312,17
5,3,100,0.8749,17
5,3,200,0.8808,17
5,3,300,0.8781,17
5,5,100,0.8578,17
5,5,200,0.8665,17
5,5,300,0.8702,17
5,10,100,0.8388,17
5,10,200,0.8372,17
5,10,300,0.8332,17
2,3,100,0.6721,18
2,3,200,0.671,18
2,3,300,0.6713,18
2,5,100,0.6706,18
2,5,200,0.6694,18
2,5,300,0.6712,18
2,10,100,0.6717,18
2,10,200,0.6686,18
2,10,300,0.6736,18
3,3,100,0.7018,18
3,3,200,0.7005,18
3,3,300,0.7019,18
3,5,100,0.7005,18
3,5,200,0.7023,18
3,5,300,0.7032,18
3,10,100,0.7004,18
3,10,200,0.6983,18
3,10,300,0.7001,18
5,3,100,0.7971,18
5,3,200,0.7968,18
5,3,300,0.7998,18
5,5,100,0.7861,18
5,5,200,0.7848,18
5,5,300,0.7888,18
5,10,100,0.7743,18
5,10,200,0.7674,18
5,10,300,0.7696,18
2,3,100,0.5841,20
2,3,200,0.5907,20
2,3,300,0.583,20
2,5,100,0.5815,20
2,5,200,0.5902,20
2,5,300,0.5822,20
2,10,100,0.58,20
2,10,200,0.5873,20
2,10,300,0.5839,20
3,3,100,0.632,20
3,3,200,0.6411,20
3,3,300,0.6402,20
3,5,100,0.6319,20
3,5,200,0.6422,20
3,5,300,0.64,20
3,10,100,0.6289,20
3,10,200,0.6357,20
3,10,300,0.6367,20
5,3,100,0.737,20
5,3,200,0.7524,20
5,3,300,0.7505,20
5,5,100,0.726,20
5,5,200,0.7416,20
5,5,300,0.7405,20
5,10,100,0.7212,20
5,10,200,0.7238,20
5,10,300,0.7226,20
2,3,100,0.7269,21
2,3,200,0.7353,21
2,3,300,0.7352,21
2,5,100,0.7275,21
2,5,200,0.7328,21
2,5,300,0.7326,21
2,10,100,0.7209,21
2,10,200,0.731,21
2,10,300,0.7336,21
3,3,100,0.7649,21
3,3,200,0.7731,21
3,3,300,0.775,21
3,5,100,0.7577,21
3,5,200,0.7659,21
3,5,300,0.7736,21
3,10,100,0.7523,21
3,10,200,0.7637,21
3,10,300,0.7642,21
5,3,100,0.8144,21
5,3,200,0.8207,21
5,3,300,0.8224,21
5,5,100,0.8075,21
5,5,200,0.8138,21
5,5,300,0.8196,21
5,10,100,0.7986,21
5,10,200,0.7979,21
5,10,300,0.8024,21
2,3,100,0.6995,22
2,3,200,0.6996,22
2,3,300,0.6999,22
2,5,100,0.6955,22
2,5,200,0.701,22
2,5,300,0.6957,22
2,10,100,0.6935,22
2,10,200,0.6979,22
2,10,300,0.6954,22
3,3,100,0.7211,22
3,3,200,0.7193,22
3,3,300,0.7144,22
3,5,100,0.7201,22
3,5,200,0.7155,22
3,5,300,0.713,22
3,10,100,0.7137,22
3,10,200,0.7115,22
3,10,300,0.707,22
5,3,100,0.7586,22
5,3,200,0.7506,22
5,3,300,0.7536,22
5,5,100,0.7607,22
5,5,200,0.7524,22
5,5,300,0.7475,22
5,10,100,0.7402,22
5,10,200,0.7287,22
5,10,300,0.7277,22
2,3,100,0.7258,23
2,3,200,0.736,23
2,3,300,0.7329,23
2,5,100,0.7244,23
2,5,200,0.7386,23
2,5,300,0.733,23
2,10,100,0.7185,23
2,10,200,0.733,23
2,10,300,0.731,23
3,3,100,0.7727,23
3,3,200,0.781,23
3,3,300,0.7789,23
3,5,100,0.7675,23
3,5,200,0.771,23
3,5,300,0.7708,23
3,10,100,0.7597,23
3,10,200,0.7595,23
3,10,300,0.7598,23
5,3,100,0.8312,23
5,3,200,0.8318,23
5,3,300,0.832,23
5,5,100,0.8186,23
5,5,200,0.8177,23
5,5,300,0.8188,23
5,10,100,0.8023,23
5,10,200,0.7971,23
5,10,300,0.8005,23
2,3,100,0.7338,24
2,3,200,0.7282,24
2,3,300,0.73,24
2,5,100,0.7318,24
2,5,200,0.729,24
2,5,300,0.7252,24
2,10,100,0.7306,24
2,10,200,0.7294,24
2,10,300,0.7208,24
3,3,100,0.7608,24
3,3,200,0.7561,24
3,3,300,0.7583,24
3,5,100,0.7571,24
3,5,200,0.7537,24
3,5,300,0.757,24
3,10,100,0.754,24
3,10,200,0.7451,24
3,10,300,0.7455,24
5,3,100,0.7962,24
5,3,200,0.8003,24
5,3,300,0.8016,24
5,5,100,0.7816,24
5,5,200,0.7914,24
5,5,300,0.7891,24
5,10,100,0.7726,24
5,10,200,0.7872,24
5,10,300,0.7906,24
2,3,100,0.6827,25
2,3,200,0.683,25
2,3,300,0.6752,25
2,5,100,0.6829,25
2,5,200,0.6826,25
2,5,300,0.6762,25
2,10,100,0.6835,25
2,10,200,0.6808,25
2,10,300,0.6754,25
3,3,100,0.7286,25
3,3,200,0.729,25
3,3,300,0.7247,25
3,5,100,0.7217,25
3,5,200,0.7287,25
3,5,300,0.7235,25
3,10,100,0.7179,25
3,10,200,0.7197,25
3,10,300,0.7195,25
5,3,100,0.7982,25
5,3,200,0.805,25
5,3,300,0.7965,25
5,5,100,0.7859,25
5,5,200,0.79,25
5,5,300,0.7875,25
5,10,100,0.7737,25
5,10,200,0.7803,25
5,10,300,0.7798,25
2,3,100,0.6404,26
2,3,200,0.6336,26
2,3,300,0.6341,26
2,5,100,0.6357,26
2,5,200,0.6286,26
2,5,300,0.6311,26
2,10,100,0.6372,26
2,10,200,0.6288,26
2,10,300,0.6283,26
3,3,100,0.6764,26
3,3,200,0.67,26
3,3,300,0.6673,26
3,5,100,0.6737,26
3,5,200,0.6668,26
3,5,300,0.6684,26
3,10,100,0.6652,26
3,10,200,0.6631,26
3,10,300,0.6599,26
5,3,100,0.7608,26
5,3,200,0.7547,26
5,3,300,0.7477,26
5,5,100,0.7513,26
5,5,200,0.7403,26
5,5,300,0.7397,26
5,10,100,0.7201,26
5,10,200,0.7167,26
5,10,300,0.7207,26
2,3,100,0.6521,27
2,3,200,0.6605,27
2,3,300,0.6585,27
2,5,100,0.6531,27
2,5,200,0.6587,27
2,5,300,0.6572,27
2,10,100,0.6508,27
2,10,200,0.6581,27
2,10,300,0.6545,27
3,3,100,0.7079,27
3,3,200,0.7092,27
3,3,300,0.7061,27
3,5,100,0.7021,27
3,5,200,0.7041,27
3,5,300,0.7045,27
3,10,100,0.7042,27
3,10,200,0.7061,27
3,10,300,0.7053,27
5,3,100,0.7913,27
5,3,200,0.7956,27
5,3,300,0.7962,27
5,5,100,0.7944,27
5,5,200,0.7917,27
5,5,300,0.7903,27
5,10,100,0.7795,27
5,10,200,0.7836,27
5,10,300,0.7856,27
2,3,100,0.8109,28
2,3,200,0.8117,28
2,3,300,0.8087,28
2,5,100,0.8079,28
2,5,200,0.8106,28
2,5,300,0.8085,28
2,10,100,0.8094,28
2,10,200,0.8107,28
2,10,300,0.8107,28
3,3,100,0.8106,28
3,3,200,0.8172,28
3,3,300,0.8124,28
3,5,100,0.8015,28
3,5,200,0.8097,28
3,5,300,0.8108,28
3,10,100,0.808,28
3,10,200,0.8115,28
3,10,300,0.8099,28
5,3,100,0.8313,28
5,3,200,0.8366,28
5,3,300,0.8363,28
5,5,100,0.8322,28
5,5,200,0.8373,28
5,5,300,0.8384,28
5,10,100,0.8171,28
5,10,200,0.8228,28
5,10,300,0.8178,28
2,3,100,0.7386,30
2,3,200,0.7361,30
2,3,300,0.743,30
2,5,100,0.7395,30
2,5,200,0.7352,30
2,5,300,0.7445,30
2,10,100,0.7293,30
2,10,200,0.7303,30
2,10,300,0.7368,30
3,3,100,0.7752,30
3,3,200,0.7756,30
3,3,300,0.7723,30
3,5,100,0.7735,30
3,5,200,0.7682,30
3,5,300,0.7664,30
3,10,100,0.7651,30
3,10,200,0.7623,30
3,10,300,0.761,30
5,3,100,0.8122,30
5,3,200,0.8207,30
5,3,300,0.8179,30
5,5,100,0.8035,30
5,5,200,0.8059,30
5,5,300,0.8136,30
5,10,100,0.7958,30
5,10,200,0.798,30
5,10,300,0.7972,30
2,3,100,0.6137,31
2,3,200,0.6188,31
2,3,300,0.6095,31
2,5,100,0.6102,31
2,5,200,0.6187,31
2,5,300,0.6094,31
2,10,100,0.6042,31
2,10,200,0.605,31
2,10,300,0.605,31
3,3,100,0.6648,31
3,3,200,0.6775,31
3,3,300,0.6779,31
3,5,100,0.6671,31
3,5,200,0.6715,31
3,5,300,0.6719,31
3,10,100,0.6654,31
3,10,200,0.6654,31
3,10,300,0.6612,31
5,3,100,0.7543,31
5,3,200,0.7576,31
5,3,300,0.7688,31
5,5,100,0.742,31
5,5,200,0.7494,31
5,5,300,0.7515,31
5,10,100,0.7209,31
5,10,200,0.7223,31
5,10,300,0.7256,31
