timestamp,lsl_timestamp,TP9,AF7,AF8,TP10,Right AUX,keypress_A,keypress_B
1772022412.024352,1772022411.9219935,0.9765625,-52.24609375,-44.921875,-20.01953125,0.0,0,0
1772022412.024568,1772022411.9258807,14.6484375,-31.25,-22.4609375,4.8828125,0.0,0,0
1772022412.024611,1772022411.9297678,4.8828125,-14.6484375,-25.87890625,0.0,0.0,0,0
1772022412.0246441,1772022411.933655,-7.32421875,-8.30078125,-34.66796875,-4.39453125,0.0,0,0
1772022412.02469,1772022411.937542,-15.625,-22.94921875,-39.55078125,-11.23046875,0.0,0,0
1772022412.024719,1772022411.9414291,-12.20703125,-41.50390625,-39.55078125,-19.53125,0.0,0,0
1772022412.024747,1772022411.9453163,18.5546875,-41.50390625,-20.01953125,0.0,0.0,0,0
1772022412.024775,1772022411.9492033,29.78515625,-45.41015625,-14.6484375,10.7421875,0.0,0,0
1772022412.024816,1772022411.9530904,21.484375,-61.03515625,-33.69140625,-1.953125,0.0,0,0
1772022412.0248451,1772022411.9569776,-8.30078125,-47.36328125,-51.26953125,-26.3671875,0.0,0,0
1772022412.024873,1772022411.9608648,-24.4140625,-37.109375,-53.7109375,-35.64453125,0.0,0,0
1772022412.0249012,1772022411.9647517,7.8125,-34.1796875,-32.71484375,-30.76171875,0.0,0,0
1772022412.040234,1772022411.968904,29.78515625,-14.6484375,-19.04296875,-19.53125,0.0,0,0
1772022412.040323,1772022411.9727912,15.13671875,-18.06640625,-24.90234375,-13.671875,0.0,0,0
1772022412.0403662,1772022411.9766784,-14.16015625,-36.62109375,-43.9453125,-31.73828125,0.0,0,0
1772022412.040403,1772022411.9805655,-25.390625,-35.64453125,-49.31640625,-38.0859375,0.0,0,0
1772022412.04044,1772022411.9844527,-9.27734375,-29.78515625,-29.78515625,-21.97265625,0.0,0,0
1772022412.0404758,1772022411.98834,4.39453125,-15.625,-12.6953125,5.859375,0.0,0,0
1772022412.040511,1772022411.992227,-4.39453125,-28.80859375,-24.4140625,7.8125,0.0,0,0
1772022412.040549,1772022411.9961145,-23.4375,-41.015625,-43.9453125,-8.7890625,0.0,0,0
1772022412.040585,1772022412.0000017,-22.94921875,-41.9921875,-44.43359375,-20.5078125,0.0,0,0
1772022412.04062,1772022412.0038888,-8.7890625,-38.57421875,-34.66796875,-22.94921875,0.0,0,0
1772022412.0406551,1772022412.007776,1.46484375,-23.4375,-21.97265625,-11.71875,0.0,0,0
1772022412.04069,1772022412.0116632,-14.16015625,-27.34375,-30.76171875,-13.18359375,0.0,0,0
1772022412.085582,1772022412.015787,-35.15625,-32.71484375,-46.875,-21.97265625,0.0,0,0
1772022412.085738,1772022412.019674,-42.96875,-36.1328125,-52.24609375,-41.015625,0.0,0,0
1772022412.0858061,1772022412.0235612,-33.203125,-41.9921875,-45.41015625,-58.10546875,0.0,0,0
1772022412.0858712,1772022412.0274487,1.953125,-26.3671875,-24.4140625,-29.296875,0.0,0,0
1772022412.0859299,1772022412.0313358,18.5546875,-20.99609375,-19.53125,-1.953125,0.0,0,0
1772022412.085988,1772022412.035223,-5.37109375,-31.73828125,-40.52734375,-23.4375,0.0,0,0
1772022412.086046,1772022412.0391104,-43.45703125,-27.83203125,-49.8046875,-54.6875,0.0,0,0
1772022412.0861208,1772022412.0429976,-37.109375,-30.2734375,-39.0625,-53.22265625,0.0,0,0
1772022412.086209,1772022412.0468848,-4.8828125,-27.34375,-29.296875,-29.296875,0.0,0,0
1772022412.086277,1772022412.0507722,2.44140625,-10.7421875,-25.390625,-16.11328125,0.0,0,0
1772022412.0863621,1772022412.0546594,-17.08984375,-16.11328125,-36.1328125,-26.3671875,0.0,0,0
1772022412.0864398,1772022412.0585465,-28.80859375,-44.43359375,-47.36328125,-42.96875,0.0,0,0
1772022412.1311622,1772022412.062654,-25.390625,-42.48046875,-42.96875,-45.41015625,0.0,0,0
1772022412.1313071,1772022412.0665414,-3.90625,-16.6015625,-23.92578125,-20.99609375,0.0,0,0
1772022412.131356,1772022412.0704288,13.671875,-14.6484375,-17.578125,-7.8125,0.0,0,0
1772022412.131405,1772022412.074316,-13.18359375,-29.296875,-26.85546875,-11.23046875,0.0,0,0
1772022412.131458,1772022412.0782034,-40.52734375,-27.83203125,-39.0625,-25.390625,0.0,0,0
1772022412.131505,1772022412.0820906,-34.66796875,-10.25390625,-38.57421875,-43.45703125,0.0,0,0
1772022412.131551,1772022412.085978,-8.30078125,-5.37109375,-19.04296875,-25.87890625,0.0,0,0
1772022412.131604,1772022412.0898654,4.8828125,-34.1796875,-15.625,-3.41796875,0.0,0,0
1772022412.131648,1772022412.0937526,-13.18359375,-40.52734375,-24.90234375,-13.18359375,0.0,0,0
1772022412.131712,1772022412.09764,-47.36328125,-24.90234375,-41.50390625,-45.8984375,0.0,0,0
1772022412.131763,1772022412.1015272,-52.734375,-21.97265625,-43.45703125,-53.7109375,0.0,0,0
1772022412.131835,1772022412.1054146,-25.390625,-17.08984375,-26.85546875,-31.25,0.0,0,0
1772022412.1771882,1772022412.1095097,-3.90625,-11.71875,-16.11328125,-14.16015625,0.0,0,0
1772022412.177342,1772022412.1133971,-4.8828125,-30.2734375,-18.06640625,-12.6953125,0.0,0,0
1772022412.177409,1772022412.1172845,-41.50390625,-45.8984375,-32.71484375,-34.1796875,0.0,0,0
1772022412.17747,1772022412.121172,-35.64453125,-40.52734375,-36.1328125,-51.7578125,0.0,0,0
1772022412.177535,1772022412.1250594,-21.97265625,-32.71484375,-21.97265625,-29.296875,0.0,0,0
