timestamp,lsl_timestamp,TP9,AF7,AF8,TP10,Right AUX,keypress_A,keypress_B
1772276383.8005838,1772276383.7179613,-748.53515625,-181.640625,-91.796875,-457.51953125,0.0,0,0
1772276383.801034,1772276383.721852,55.17578125,148.4375,-22.94921875,-20.01953125,0.0,0,0
1772276383.801124,1772276383.7257428,562.5,222.16796875,15.625,308.10546875,0.0,0,0
1772276383.801151,1772276383.7296336,318.359375,121.58203125,8.30078125,263.18359375,0.0,0,0
1772276383.801177,1772276383.7335243,-518.5546875,-39.0625,-67.87109375,-250.0,0.0,0,0
1772276383.8012018,1772276383.737415,-766.11328125,-14.16015625,-93.75,-468.26171875,0.0,0,0
1772276383.801227,1772276383.7413058,-89.84375,228.515625,-35.64453125,-77.63671875,0.0,0,0
1772276383.8012521,1772276383.7451963,615.72265625,293.45703125,7.8125,316.40625,0.0,0,0
1772276383.801277,1772276383.749087,632.8125,168.9453125,8.7890625,297.36328125,0.0,0,0
1772276383.801301,1772276383.7529778,-288.57421875,4.8828125,-44.43359375,-217.28515625,0.0,0,0
1772276383.801326,1772276383.7568686,-744.140625,69.82421875,-67.87109375,-446.77734375,0.0,0,0
1772276383.8013499,1772276383.7607594,-254.39453125,273.92578125,-16.11328125,-147.4609375,0.0,0,0
1772276383.84643,1772276383.7648618,507.32421875,333.49609375,54.19921875,278.3203125,0.0,0,0
1772276383.846554,1772276383.7687526,580.56640625,237.79296875,46.38671875,325.1953125,0.0,0,0
1772276383.846588,1772276383.7726433,-282.71484375,23.4375,-56.15234375,-197.265625,0.0,0,0
1772276383.8466141,1772276383.776534,-704.1015625,-33.69140625,-90.8203125,-480.46875,0.0,0,0
1772276383.8466408,1772276383.7804248,-353.515625,102.05078125,-33.69140625,-229.98046875,0.0,0,0
1772276383.846666,1772276383.7843156,341.796875,245.1171875,41.50390625,240.72265625,0.0,0,0
1772276383.84669,1772276383.7882063,421.875,225.5859375,39.0625,344.23828125,0.0,0,0
1772276383.846714,1772276383.792097,-405.76171875,-9.765625,-48.828125,-146.484375,0.0,0,0
1772276383.8467379,1772276383.7959878,-874.51171875,-98.6328125,-73.2421875,-482.91015625,0.0,0,0
1772276383.846762,1772276383.7998786,-569.82421875,-10.25390625,-33.69140625,-286.62109375,0.0,0,0
1772276383.846786,1772276383.8037694,243.65234375,119.140625,25.87890625,214.84375,0.0,0,0
1772276383.84681,1772276383.80766,499.51171875,136.23046875,55.6640625,350.5859375,0.0,0,0
1772276383.890622,1772276383.8117473,-171.875,6.34765625,0.48828125,-79.1015625,0.0,0,0
1772276383.8907142,1772276383.815638,-757.32421875,-53.7109375,-76.171875,-464.35546875,0.0,0,0
1772276383.890746,1772276383.8195288,-593.75,4.39453125,-57.12890625,-387.6953125,0.0,0,0
1772276383.890774,1772276383.8234198,215.8203125,157.2265625,35.15625,120.1171875,0.0,0,0
1772276383.890799,1772276383.8273106,436.03515625,162.109375,60.05859375,295.8984375,0.0,0,0
1772276383.8908749,1772276383.8312013,-121.09375,-59.08203125,-8.30078125,-31.25,0.0,0,0
1772276383.890904,1772276383.835092,-702.1484375,-221.6796875,-89.84375,-436.03515625,0.0,0,0
1772276383.890978,1772276383.8389828,-641.6015625,-167.48046875,-84.9609375,-436.5234375,0.0,0,0
1772276383.8911061,1772276383.8428738,209.9609375,-28.3203125,-12.6953125,66.40625,0.0,0,0
1772276383.891189,1772276383.8467646,542.96875,38.57421875,1.953125,284.66796875,0.0,0,0
1772276383.891237,1772276383.8506553,172.8515625,-15.625,-36.1328125,55.17578125,0.0,0,0
1772276383.89127,1772276383.854546,-534.1796875,-130.37109375,-88.8671875,-401.85546875,0.0,0,0
1772276383.936314,1772276383.8586235,-632.32421875,-49.31640625,-74.70703125,-454.1015625,0.0,0,0
1772276383.9364018,1772276383.8625143,246.58203125,152.83203125,-2.9296875,69.82421875,0.0,0,0
1772276383.9364312,1772276383.866405,679.6875,148.4375,21.484375,331.0546875,0.0,0,0
1772276383.936498,1772276383.870296,401.3671875,21.97265625,-5.859375,184.08203125,0.0,0,0
1772276383.9365828,1772276383.8741868,-434.08203125,-102.5390625,-94.23828125,-298.33984375,0.0,0,0
1772276383.936645,1772276383.8780775,-657.2265625,41.9921875,-120.60546875,-423.828125,0.0,0,0
1772276383.936676,1772276383.8819683,140.625,308.10546875,-36.62109375,78.61328125,0.0,0,0
1772276383.93676,1772276383.8858593,632.8125,278.3203125,10.7421875,387.20703125,0.0,0,0
1772276383.9368188,1772276383.88975,425.78125,94.23828125,-15.625,285.64453125,0.0,0,0
1772276383.936844,1772276383.8936408,-429.6875,-158.203125,-97.65625,-229.00390625,0.0,0,0
1772276383.936884,1772276383.8975317,-703.61328125,-170.8984375,-104.00390625,-406.25,0.0,0,0
1772276383.936936,1772276383.9014225,1.953125,64.94140625,-37.109375,16.6015625,0.0,0,0
1772276383.9836092,1772276383.9055138,588.8671875,133.7890625,-3.90625,351.07421875,0.0,0,0
1772276383.983684,1772276383.9094048,497.0703125,87.40234375,-9.765625,336.9140625,0.0,0,0
1772276383.983712,1772276383.9132955,-337.40234375,-21.484375,-90.8203125,-189.453125,0.0,0,0
1772276383.9837382,1772276383.9171865,-650.87890625,-10.25390625,-100.5859375,-419.43359375,0.0,0,0
1772276383.983805,1772276383.9210773,-11.23046875,177.734375,-28.80859375,-34.66796875,0.0,0,0
1772276383.9838321,1772276383.9249682,650.390625,236.328125,6.8359375,360.83984375,0.0,0,0
1772276383.983857,1772276383.928859,636.23046875,172.8515625,-5.859375,343.75,0.0,0,0
1772276383.983886,1772276383.93275,-213.37890625,-35.64453125,-95.21484375,-192.3828125,0.0,0,0
1772276383.9839098,1772276383.9366407,-580.078125,-93.75,-111.328125,-427.734375,0.0,0,0
1772276383.983934,1772276383.9405315,-114.74609375,134.765625,-41.9921875,-139.6484375,0.0,0,0
1772276383.983958,1772276383.9444225,562.5,317.3828125,12.20703125,279.78515625,0.0,0,0
1772276383.9839811,1772276383.9483132,633.7890625,228.02734375,7.32421875,371.58203125,0.0,0,0
1772276384.025912,1772276383.952365,-285.64453125,-57.12890625,-79.58984375,-79.58984375,0.0,0,0
1772276384.025973,1772276383.956256,-773.92578125,-116.2109375,-125.9765625,-404.296875,0.0,0,0
1772276384.0259929,1772276383.9601467,-325.68359375,-9.765625,-93.75,-224.12109375,0.0,0,0
1772276384.026012,1772276383.9640377,497.0703125,58.59375,-14.16015625,264.6484375,0.0,0,0
1772276384.0260422,1772276383.9679284,676.26953125,10.25390625,8.30078125,379.39453125,0.0,0,0
1772276384.0261161,1772276383.9718194,-73.73046875,-185.546875,-71.2890625,-104.00390625,0.0,0,0
1772276384.026158,1772276383.9757102,-633.30078125,-295.41015625,-131.8359375,-470.21484375,0.0,0,0
1772276384.02618,1772276383.9796011,-366.69921875,-239.74609375,-118.1640625,-329.1015625,0.0,0,0
1772276384.026198,1772276383.9834921,447.265625,-94.23828125,-42.96875,159.1796875,0.0,0,0
1772276384.026216,1772276383.987383,669.921875,-77.1484375,-11.23046875,331.54296875,0.0,0,0
1772276384.0262542,1772276383.9912739,3.90625,-228.02734375,-72.265625,-37.59765625,0.0,0,0
1772276384.0263171,1772276383.9951646,-649.4140625,-318.84765625,-123.046875,-447.265625,0.0,0,0
1772276384.0726242,1772276383.999205,-480.95703125,-251.953125,-107.421875,-395.5078125,0.0,0,0
1772276384.0727491,1772276384.003096,373.53515625,27.83203125,-33.203125,123.53515625,0.0,0,0
1772276384.072808,1772276384.006987,596.19140625,176.7578125,9.765625,327.63671875,0.0,0,0
1772276384.0728729,1772276384.010878,84.47265625,80.078125,-45.41015625,31.73828125,0.0,0,0
1772276384.07293,1772276384.0147688,-568.84765625,-41.50390625,-127.9296875,-413.57421875,0.0,0,0
1772276384.072982,1772276384.0186598,-567.3828125,61.5234375,-115.72265625,-435.546875,0.0,0,0
1772276384.0730329,1772276384.0225508,241.2109375,271.484375,-37.59765625,61.03515625,0.0,0,0
1772276384.0730839,1772276384.0264416,558.59375,187.01171875,3.41796875,273.92578125,0.0,0,0
1772276384.0731351,1772276384.0303326,135.25390625,-9.27734375,-20.01953125,78.125,0.0,0,0
1772276384.073184,1772276384.0342236,-635.25390625,-181.15234375,-99.609375,-407.71484375,0.0,0,0
1772276384.073235,1772276384.0381143,-752.9296875,-185.05859375,-108.3984375,-514.6484375,0.0,0,0
1772276384.0732858,1772276384.0420053,69.3359375,-21.484375,-24.90234375,2.44140625,0.0,0,0
1772276384.128608,1772276384.046035,535.64453125,13.18359375,3.41796875,295.41015625,0.0,0,0
1772276384.128652,1772276384.0499258,282.2265625,-137.6953125,-23.92578125,149.4140625,0.0,0,0
1772276384.1286662,1772276384.0538168,-512.20703125,-337.40234375,-84.9609375,-366.69921875,0.0,0,0
1772276384.12892,1772276384.0577078,-711.9140625,-257.8125,-110.3515625,-531.25,0.0,0,0
1772276384.1289349,1772276384.0615988,64.94140625,-31.73828125,-38.0859375,-90.33203125,0.0,0,0
1772276384.1289458,1772276384.0654898,579.58984375,-3.41796875,18.5546875,260.25390625,0.0,0,0
1772276384.128957,1772276384.0693805,433.59375,-108.88671875,-17.578125,213.8671875,0.0,0,0
1772276384.128968,1772276384.0732715,-385.25390625,-277.34375,-103.515625,-316.89453125,0.0,0,0
1772276384.128979,1772276384.0771625,-700.68359375,-249.51171875,-107.91015625,-577.63671875,0.0,0,0
1772276384.1290472,1772276384.0810535,-81.0546875,-44.921875,-34.66796875,-189.94140625,0.0,0,0
1772276384.129132,1772276384.0849442,467.28515625,39.0625,14.6484375,207.03125,0.0,0,0
1772276384.129146,1772276384.0888352,328.125,-40.0390625,6.8359375,188.96484375,0.0,0,0
1772276384.173866,1772276384.0928931,-506.8359375,-227.5390625,-79.1015625,-312.98828125,0.0,0,0
1772276384.1739242,1772276384.096784,-783.203125,-214.35546875,-104.98046875,-521.484375,0.0,0,0
1772276384.1739478,1772276384.100675,-201.171875,-89.84375,-56.15234375,-195.3125,0.0,0,0
1772276384.1739678,1772276384.104566,563.96484375,-47.36328125,-9.27734375,248.53515625,0.0,0,0
1772276384.173989,1772276384.108457,632.32421875,-59.08203125,2.44140625,314.453125,0.0,0,0
1772276384.174009,1772276384.112348,-232.421875,-220.21484375,-73.2421875,-191.40625,0.0,0,0
1772276384.174028,1772276384.116239,-689.453125,-248.046875,-114.2578125,-480.95703125,0.0,0,0
1772276384.1740491,1772276384.12013,-298.828125,-117.67578125,-74.70703125,-261.71875,0.0,0,0
1772276384.174069,1772276384.124021,506.34765625,36.1328125,-6.8359375,225.5859375,0.0,0,0
1772276384.174089,1772276384.1279118,617.1875,38.57421875,10.25390625,329.58984375,0.0,0,0
1772276384.174109,1772276384.1318028,-172.36328125,-150.390625,-64.453125,-149.90234375,0.0,0,0
1772276384.174128,1772276384.1356938,-552.24609375,-172.36328125,-123.53515625,-455.078125,0.0,0,0
1772276384.221468,1772276384.1397898,-312.98828125,-48.828125,-82.03125,-295.8984375,0.0,0,0
1772276384.2215512,1772276384.1436808,379.8828125,112.3046875,-1.46484375,147.4609375,0.0,0,0
1772276384.221578,1772276384.1475718,590.8203125,111.81640625,-9.27734375,259.27734375,0.0,0,0
1772276384.2216058,1772276384.1514628,-131.34765625,-117.67578125,-76.66015625,-162.109375,0.0,0,0
1772276384.221631,1772276384.1553538,-723.14453125,-204.1015625,-99.609375,-531.73828125,0.0,0,0
1772276384.2216551,1772276384.1592448,-533.69140625,-107.91015625,-75.68359375,-423.33984375,0.0,0,0
1772276384.2216792,1772276384.1631358,263.18359375,16.11328125,-11.71875,73.73046875,0.0,0,0
