lsl_timestamp,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_low_gamma,TP9_high_gamma,TP9_very_high,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_low_gamma,AF7_high_gamma,AF7_very_high,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_low_gamma,AF8_high_gamma,AF8_very_high,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_low_gamma,TP10_high_gamma,TP10_very_high
1771947935.689728,411.8193984292761,-123.87693461708726,47.51171141016657,-24.27150964629974,12.42345137713368,0.5771479613857103,6.576664763060819,-133.31302462968586,33.84511479681836,5.094139931439876,2.0791388112083107,5.8323901637262985,-9.404907208800845,-6.229793779786721,-175.23908793636866,45.90660056693396,-4.5776012887037005,10.149794597130185,0.04376597489541943,-8.03271659439079,-6.042355891485083,408.7749060791333,-123.28917174726145,47.43298484948482,-24.428279732461704,12.689425071764465,0.7174443671769558,6.462030550477393
1771947935.693623,434.37210759586355,-115.53717151746513,98.3981711518623,148.27716660874094,119.47012309646367,285.43891981517356,262.97305476081635,-111.10629944716767,63.714953600893935,30.99265926792937,88.15533588965886,183.4231991842253,-397.2040993488095,214.92630117895115,-152.53492726425372,94.22002554366104,10.512160787013872,112.56873993145045,29.07604812138932,-444.4011735620289,214.321263835396,426.49498879088657,-110.38143989676763,110.96020517807277,124.19701829474096,112.30110996221616,345.73555057148235,242.3709760555818
1771947935.697518,455.3989163803333,-104.12782936484787,141.1632476716814,268.04344558274244,136.15671851284617,296.50767448518394,-326.4221473039237,-88.5671357457251,92.0547062193641,55.13099864468565,152.29042620133833,249.25592679376393,-271.7078340023372,-85.59131641034793,-129.3544254785558,140.53061465011154,26.074504168844335,176.12343330567063,49.11295766103103,-274.40802275579875,16.93792973440891,442.72235970933406,-94.62631756212174,165.94463148735824,226.9798737093201,141.20385402857977,344.03055956999253,-305.3375231968444
1771947935.701413,474.83827243078304,-90.04867935569668,173.4110787294441,299.51678363565316,50.98511695486583,6.940762890885176,203.64779489681737,-65.81921178097843,118.37907789037094,75.4885532483527,183.92227304265143,165.1722604955281,196.12423935918181,-239.45369486360394,-105.83337027060848,183.90962136128326,40.86955185767371,180.36327830204823,52.19326054616031,272.6228090976308,-374.19663167083314,457.4228522218188,-76.63264644361766,209.5794386745998,252.9463404412378,83.83624433496767,-15.169747546468498,190.68063267792274
1771947935.7053075,492.6361698509166,-73.76301010361783,193.55199447346334,241.96003599926303,-68.02936015715012,-315.4614009014546,-41.21598570941445,-42.98653629703481,142.25721477172536,90.36564479894325,185.51600089151597,-18.458823765726716,392.82466009099403,336.62450841895725,-82.10825163697442,223.49834174272254,53.661985197700744,128.27790438014557,30.020421501092727,442.7616649455303,324.08087312447054,470.56945357532635,-57.056451373981666,239.85953402118741,201.8228595505378,-19.79155656856821,-377.1146462185683,-34.83494440313813
1771947935.7092028,508.74636473032206,-55.78091180891484,200.88112664530212,126.53496465241493,-129.94037338964623,-330.96642139210695,-84.6378435618954,-20.192544870081917,163.32017337142432,98.53425624039713,168.59422871921217,-191.51407506839246,78.28859132794967,-129.15365754174195,-58.31522033209276,258.5269605215289,63.327857110774275,44.214170447060944,-14.989269065916673,-4.675904035451969,-7.837031508685681,482.14233517292615,-36.576632175883816,255.66379557596886,100.60986606169546,-104.93408958192838,-354.94978732616124,-72.78376813812879
1771947935.7130976,523.1305462667776,-36.64179258713731,195.58937251254662,0.5247407714978221,-93.15914771755887,23.98632996576563,176.52373432012536,2.440789350389871,181.2664949598283,99.34349038176448,144.79720865434223,-248.49640048495363,-307.42104097615646,-81.98596057715218,-34.58906332447421,288.3310064009872,68.95368617632485,-37.33028317014659,-61.77706750845502,-441.928120416828,-145.05106599598776,492.128842551771,-15.87078283668895,256.7768904066055,-11.066221902059699,-125.30746086170893,59.49378530547418,142.0792480803074
1771947935.7169926,535.7584621519061,-16.896765646504214,178.70826255530793,-93.1735382507799,5.7191231241322384,396.67983672188683,-223.18122684430242,24.79382252204206,195.8658059394462,92.77023970892472,117.688582875981,-152.67725230308272,-257.2635477397229,209.30820632702807,-11.06220582190565,312.3650345431652,69.91903403472372,-86.83349748995883,-78.7191183728186,-243.99073844968186,274.02136047435425,500.5234450142477,4.407968937490037,243.85281444704086,-98.59586490915345,-77.50503299628208,436.01936546195424,-194.8967845375
1771947935.7208874,546.6079972509393,2.90848012007759,151.99543276564228,-132.02554633653946,87.01270816543489,339.4507467805395,191.57962513779324,46.750077095482375,206.9604360783649,79.41107917986625,80.86214976963069,38.76164702967502,117.7084700786316,-385.9508310228803,12.136251101984033,330.21323888859075,65.95526258782849,-91.72782065757366,-46.410154518863905,304.4691148459309,-552.3193882559723,507.32764521720406,23.652278354865036,218.32611999835436,-144.48042424289486,5.469215062097931,339.4604451416887,190.09009470768197
1771947935.7247825,555.6652049517855,22.24976096213262,117.77185954567486,-119.25569397056938,93.96822364453926,-142.53249823182585,-90.88879912459572,68.1970418804873,214.4651145281309,60.41723208335147,24.05442661207839,207.0888792350322,278.7285268627626,425.9153128428616,34.8814488269474,341.5967871251525,57.175288779379166,-59.85677791942956,22.321827354476717,400.51776249841316,418.66369527090774,512.549849337201,41.3193318847433,182.2799388656042,-150.3335624353057,79.42202777446056,-155.45031969551144,-99.58487951610667
