Combination,Scale,Notch,Artifact_Filter,Burst_Filter,Model,Test_Recall,Train_Recall,Train_Test_Delta,Test_N,Diff_from_Baseline,Compared_To,Delta,Wilcoxon_p,Significant
Inter|Notch|NoArt|Burst|Best Feature LR,Inter,Notch,NoArt,Burst,Best Feature LR,0.5104188785918639,0.4813211850433956,-0.02909769354846825,651.92,3,Intra|Notch|NoArt|Burst|Best Feature LR,0.023802544454329666,0.7309892177581787,ns
Inter|Notch|NoArt|Burst|Best Feature LR,Inter,Notch,NoArt,Burst,Best Feature LR,0.5104188785918639,0.4813211850433956,-0.02909769354846825,651.92,3,Inter|Notch|NoArt|NoBurst|Best Feature LR,0.0,,ns
Inter|Notch|NoArt|Burst|Best Feature LR,Inter,Notch,NoArt,Burst,Best Feature LR,0.5104188785918639,0.4813211850433956,-0.02909769354846825,651.92,3,Inter|Notch|NoArt|Burst|EI,-0.14748658009446147,0.10731470584869385,ns
Inter|Notch|NoArt|Burst|LR,Inter,Notch,NoArt,Burst,LR,0.5467289799286473,0.5888636731334711,0.04213469320482377,651.92,3,Intra|Notch|NoArt|Burst|LR,0.07668304168618756,0.16449612379074097,ns
Inter|Notch|NoArt|Burst|LR,Inter,Notch,NoArt,Burst,LR,0.5467289799286473,0.5888636731334711,0.04213469320482377,651.92,3,Inter|Notch|NoArt|NoBurst|LR,0.0,,ns
Inter|Notch|NoArt|Burst|LR,Inter,Notch,NoArt,Burst,LR,0.5467289799286473,0.5888636731334711,0.04213469320482377,651.92,3,Inter|Notch|NoArt|Burst|EI,-0.111176478757678,0.10731470584869385,ns
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.6284597773213204,0.6283653310664197,-9.444625490073744e-05,511.2,3,Intra|Notch|Art|Burst|EI,0.0707492103842211,0.4741646647453308,ns
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.6284597773213204,0.6283653310664197,-9.444625490073744e-05,511.2,3,Inter|Notch|Art|NoBurst|EI,0.0,,ns
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.6284597773213204,0.6283653310664197,-9.444625490073744e-05,511.2,3,Inter|Notch|NoArt|Burst|EI,-0.029445681365004917,0.1134914755821228,ns
Inter|Notch|Art|Burst|Best Feature LR,Inter,Notch,Art,Burst,Best Feature LR,0.5651305226406024,0.5279782284575459,-0.037152294183056433,511.2,4,Intra|Notch|Art|Burst|Best Feature LR,0.03960775059191779,0.5424043536186218,ns
Inter|Notch|Art|Burst|Best Feature LR,Inter,Notch,Art,Burst,Best Feature LR,0.5651305226406024,0.5279782284575459,-0.037152294183056433,511.2,4,Inter|Notch|Art|NoBurst|Best Feature LR,0.0,,ns
Inter|Notch|Art|Burst|Best Feature LR,Inter,Notch,Art,Burst,Best Feature LR,0.5651305226406024,0.5279782284575459,-0.037152294183056433,511.2,4,Inter|Notch|NoArt|Burst|Best Feature LR,0.05471164404873852,0.5782062411308289,ns
Inter|Notch|Art|Burst|Best Feature LR,Inter,Notch,Art,Burst,Best Feature LR,0.5651305226406024,0.5279782284575459,-0.037152294183056433,511.2,4,Inter|Notch|Art|Burst|EI,-0.06332925468071804,0.7711594104766846,ns
Inter|Notch|Art|Burst|LR,Inter,Notch,Art,Burst,LR,0.5443994549331809,0.5757345483913459,0.031335093458164986,511.2,4,Intra|Notch|Art|Burst|LR,0.07174032081306653,0.19081425666809082,ns
Inter|Notch|Art|Burst|LR,Inter,Notch,Art,Burst,LR,0.5443994549331809,0.5757345483913459,0.031335093458164986,511.2,4,Inter|Notch|Art|NoBurst|LR,0.0,,ns
Inter|Notch|Art|Burst|LR,Inter,Notch,Art,Burst,LR,0.5443994549331809,0.5757345483913459,0.031335093458164986,511.2,4,Inter|Notch|NoArt|Burst|LR,-0.0023295249954664587,0.39571136236190796,ns
Inter|Notch|Art|Burst|LR,Inter,Notch,Art,Burst,LR,0.5443994549331809,0.5757345483913459,0.031335093458164986,511.2,4,Inter|Notch|Art|Burst|EI,-0.08406032238813954,0.2634761333465576,ns
