Combination,Scale,Notch,Artifact_Filter,Burst_Filter,Model,Test_Recall,Train_Recall,Train_Test_Delta,Test_N,Diff_from_Baseline,Compared_To,Delta,Wilcoxon_p,Significant
Inter|Notch|NoArt|Burst|EI,Inter,Notch,NoArt,Burst,EI,0.41675224046892706,0.3961425972121656,-0.020609643256761456,254.4,2,Inter|Notch|NoArt|NoBurst|EI,0.007482123968982679,0.012792160247732852,SIG
Inter|Notch|NoArt|Burst|RF,Inter,Notch,NoArt,Burst,RF,0.8109163655947426,0.8681932991664705,0.05727693357172792,254.4,3,Intra|Notch|NoArt|Burst|RF,0.2563556196272313,1.1324882507324219e-06,SIG
Inter|Notch|NoArt|Burst|RF,Inter,Notch,NoArt,Burst,RF,0.8109163655947426,0.8681932991664705,0.05727693357172792,254.4,3,Inter|Notch|NoArt|NoBurst|RF,0.18482803841994822,3.883801501287101e-05,SIG
Inter|Notch|NoArt|Burst|RF,Inter,Notch,NoArt,Burst,RF,0.8109163655947426,0.8681932991664705,0.05727693357172792,254.4,3,Inter|Notch|NoArt|Burst|EI,0.3941641251258155,0.00033199406468203393,SIG
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.4267182650959805,0.4321835897235637,0.005465324627583201,200.0,3,Intra|Notch|Art|Burst|EI,-0.12181473850528807,0.17295855283737183,ns
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.4267182650959805,0.4321835897235637,0.005465324627583201,200.0,3,Inter|Notch|Art|NoBurst|EI,0.08479719390701784,0.6496440323317323,ns
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.4267182650959805,0.4321835897235637,0.005465324627583201,200.0,3,Inter|Notch|NoArt|Burst|EI,0.009966024627053427,0.3010854851057815,ns
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.8648663616601668,0.91711517760745,0.052248815947283145,200.0,4,Intra|Notch|Art|Burst|RF,0.3016889018388471,6.556510925292969e-06,SIG
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.8648663616601668,0.91711517760745,0.052248815947283145,200.0,4,Inter|Notch|Art|NoBurst|RF,0.053069698816750055,0.015647093863347505,SIG
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.8648663616601668,0.91711517760745,0.052248815947283145,200.0,4,Inter|Notch|NoArt|Burst|RF,0.05394999606542428,0.00806879997253418,SIG
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.8648663616601668,0.91711517760745,0.052248815947283145,200.0,4,Inter|Notch|Art|Burst|EI,0.43814809656418635,0.00012878697721372952,SIG
