channel,band,feature,n_over,n_under,median_over,median_under,mean_over,mean_under,std_over,std_under,u_statistic,p_value,p_corrected,significant,effect_size_r,cohens_d,normal_over,normal_under,equal_variance
TP9,delta,TP9_delta,128,192,-35359607385400.25,-40731546184821.31,-33407525130408.242,-36759718387001.836,22523489435797.566,22232030068745.297,13472.0,0.144384406344298,2.88768812688596,False,0.09635416666666674,0.14999374901026574,False,False,True
TP9,theta,TP9_theta,128,192,-16543857342794.049,-16702833855810.418,-14638649588107.254,-16400108554490.771,9919272366493.152,9684615384905.223,13288.0,0.21767933215202795,4.353586643040559,False,0.08138020833333326,0.18012658681658153,False,False,True
TP9,alpha,TP9_alpha,128,192,-51530604221.94389,-49214534714.43161,-49298078704.988235,-51261936928.15438,32417104566.350254,31517796078.74926,12596.0,0.7045009036068655,14.090018072137308,False,0.02506510416666674,0.06160158182393213,True,True,True
TP9,beta,TP9_beta,128,192,-122829178764.92322,-125499424960.92252,-120275163906.4795,-115893220911.39519,69272168722.18147,72836384058.07816,11884.0,0.6187291089511913,12.374582179023825,False,0.03287760416666663,0.06134230638377625,True,False,True
TP9,gamma,TP9_gamma,128,192,-91285621731.4003,-91745284541.07135,-95155527406.82893,-95912159578.9965,51389918210.88381,57659243806.14448,12452.0,0.8401896137825271,16.803792275650544,False,0.01334635416666674,0.013696966106305905,True,False,True
AF7,delta,AF7_delta,128,192,-38217968631.591125,-37000029480.10251,-36248717885.38593,-36585995428.499115,21231161134.58979,20332183784.28828,12410.0,0.8808824055018946,17.61764811003789,False,0.00992838541666674,0.016296834256552373,False,True,True
AF7,theta,AF7_theta,128,192,-57859842467.613785,-73873056229.56981,-53502036391.72201,-71253936196.29945,63247633355.49788,68159479503.65229,14086.0,0.026628075491879028,0.5325615098375805,False,0.14632161458333326,0.2679874761500995,False,False,True
AF7,alpha,AF7_alpha,128,192,-76006068928.24088,-91154724310.10986,-87348432503.47821,-97234829954.92741,87499268349.86012,91550578215.92496,13240.0,0.24058646992445376,4.811729398489075,False,0.07747395833333326,0.10990443724904544,True,True,True
AF7,beta,AF7_beta,128,192,-25652015577.358307,-24999664119.932816,-21672696956.400394,-22711317716.390415,30987179669.369076,32018898560.922585,12681.0,0.62832511667877,12.5665023335754,False,0.031982421875,0.03285641341737098,True,False,True
AF7,gamma,AF7_gamma,128,192,-16102009859.968403,-14802317062.373978,-14159306047.728554,-14147441278.074865,13104923294.586754,12424130474.217024,12137.0,0.8527446993712288,17.054893987424574,False,0.01228841145833337,0.000934204622482718,True,True,True
AF8,delta,AF8_delta,128,192,-2787817403855.2676,-2703391684686.34,-2719535444653.429,-2828242533799.5034,2754255156025.593,2462362563613.748,12467.0,0.8257535308318735,16.51507061663747,False,0.01456705729166674,0.042087298580241454,False,True,True
AF8,theta,AF8_theta,128,192,-855782848736.22,-921004131412.038,-833926277239.6265,-1031775809454.8389,1220556734613.494,1314649912356.731,13088.0,0.3241063067881357,6.482126135762714,False,0.06510416666666674,0.15482358767209561,True,True,True
AF8,alpha,AF8_alpha,128,192,-102774271325.23875,-132111084096.41626,-119007936823.58084,-142073256922.5198,123622037251.19647,117338233181.296,13653.0,0.09239614931566181,1.8479229863132363,False,0.111083984375,0.19239166979668393,True,True,True
AF8,beta,AF8_beta,128,192,-48428438657.91927,-52837604866.28208,-49338383242.34677,-53469235604.76046,25664781963.107483,24465394388.159748,13351.0,0.19005283897153924,3.801056779430785,False,0.08650716145833326,0.1655565269045283,True,True,True
AF8,gamma,AF8_gamma,128,192,-134523667756.81229,-129787532066.54614,-132966619644.57732,-132686877911.3719,64996307363.50482,58214666039.04044,12183.0,0.8974494860965918,17.948989721931838,False,0.008544921875,0.0045849130833801,True,True,True
TP10,delta,TP10_delta,128,192,15362742989.652977,13687267406.448654,16191050608.020258,13904730373.431473,16812968400.681313,17682896019.98244,13150.0,0.28799893321515635,5.7599786643031265,False,0.07014973958333326,0.13184700139454664,True,False,True
TP10,theta,TP10_theta,128,192,-145218284714.66364,-267425986115.65067,-217129888375.59845,-285960582910.231,255390980010.76596,247045795587.59497,14431.0,0.008231370473288676,0.1646274094657735,False,0.17439778645833326,0.2748698160982149,False,False,True
TP10,alpha,TP10_alpha,128,192,-645305835289.8601,-654674100154.3086,-721051728434.134,-827113390575.9667,431514243419.3151,535891471506.1751,13260.0,0.23084346355067364,4.616869271013472,False,0.0791015625,0.2134711129324099,False,False,True
TP10,beta,TP10_beta,128,192,9964291114.614525,11157035140.155628,-29587803032.037933,-42939462684.1029,100709208684.79382,125598689491.64577,12433.0,0.858552164276355,17.171043285527098,False,0.01180013020833326,0.11480441922243087,False,False,True
TP10,gamma,TP10_gamma,128,192,-198993377834.6851,-489461584435.697,-23866519687.811638,-426029455117.19403,1564943691945.0798,1658998213998.6592,14048.0,0.030002286899439286,0.6000457379887857,False,0.14322916666666674,0.24792890025849554,False,False,True
