segment_id,class,timestamp_start,timestamp_end,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma
10,tiktok_under_4s_watched,1765395531.6687484,1765395532.1687164,-47784519668762.195,-28558641464167.176,-99136620830.74936,-150427858801.74115,-190249098718.46628,-34595296840.328224,-55405505829.7882,88884726379.40282,21956973526.91651,9906591459.985035,-2064303810775.1653,-2939860832411.98,-122482455589.4797,-53610657807.66835,-126246385269.85774,23519218015.515533,-521945738208.25793,-519022279542.8349,10669829251.85404,-2027226538665.2754
11,tiktok_under_4s_watched,1765395545.6832223,1765395546.1831834,33720834581785.168,2890774638256.672,-21520489751.192646,-244839767589.37988,-118509874576.8093,17947891805.353497,-11056670790.929438,-86819007854.11652,-4371638560.842302,-17664770583.74408,4131505551267.9775,-458220949526.7817,-118211561835.58382,-35372224433.58523,-78947639536.10194,18424650709.086567,-587740275201.6969,-543091107752.1773,26478907631.62964,-1996300407299.6096
12,tiktok_under_4s_watched,1765395546.948734,1765395547.4487014,-78471293076393.11,-38038227303132.305,-85346417598.21312,-270471533657.39688,-188875183905.48633,-30105580843.91188,-89172846259.47252,-186316534117.62585,-61698626892.79979,-14232778600.79292,-3866433513859.633,-2533666959311.17,-170095931516.26276,-51147962710.53687,-173582664223.16434,31333975110.40427,-332365735402.6015,-498537639258.76685,-1837093424.7568703,-2004929644522.344
13,tiktok_under_4s_watched,1765395548.0736475,1765395548.5735922,-25337476614201.57,-22343159498604.184,-113149150766.20834,-184563630383.04913,-167206858031.57828,-54315497188.4751,-100388327588.21234,-64442012104.33077,-13604072697.971277,-4750034429.65231,-2774631903019.7163,-2145882527279.5051,-278430077761.7629,-35997574072.17595,-138689606378.76306,20666650435.691586,-378249204097.41583,-588529439610.1064,17655688236.482243,-2055598050750.4094
14,tiktok_under_4s_watched,1765395551.495222,1765395551.9951658,-16275543742325.748,-16783505682256.22,-81466541326.70961,-217687351936.50247,-119512351217.74289,-3189037244.621986,-182306644.94406572,16380926417.433748,1170871115.9370024,-21471118111.199875,-2460482966366.198,-2883768163180.563,-355309607934.1587,-23451130898.004482,-89696986755.65546,10573694145.092627,-394332356917.00616,-643066196931.2827,24399595465.580624,-1971187595124.2422
15,tiktok_under_4s_watched,1765395554.1200044,1765395554.619953,-65065833182897.27,-27274697492495.21,-91896515156.94415,-202451662048.88065,-134142840598.1391,-22635105900.796814,-109542489025.76338,-174689814864.7423,-1172860588.1501024,2045649099.3048472,-2075131106405.1653,-1800619775007.3132,-221450354404.5229,-48805798907.31166,-59786049507.9624,32936243453.423676,-210676383625.0884,-506237866076.78674,4799412998.814117,-1991092650732.3633
16,tiktok_under_4s_watched,1765395555.8073883,1765395556.307386,-41312631255450.41,-26861561455495.8,-69496484462.84253,-138981832077.06516,-199297705118.34735,-31180350018.688885,-13550374585.065054,-134532118045.83499,2946743187.239251,-1364012451.9025798,-3587981793588.0796,-2966719977546.2275,-99511550384.5846,-49293709456.962555,-133264079820.30939,24655847481.28128,-333916713679.52356,-999819140183.0402,-38404561596.60153,1517397436859.3909
17,tiktok_under_4s_watched,1765395571.5103877,1765395572.0064929,28385356812190.47,8707728292362.844,21193289195.46023,-177785132967.33688,-177830445396.244,4307430770.737828,41471412040.3896,3812136568.31097,5957554134.40442,-12171383530.65732,3516101971885.8486,1756225734962.4297,-45173251906.670944,-55614780070.63802,-160780158982.93826,31614965487.086884,70494162897.60573,-605102173007.0946,-102798867858.89458,1182924872626.0984
18,tiktok_under_4s_watched,1765395585.6672,1765395586.163304,-47844636174527.13,-15455114712704.096,-75901474856.17714,-216134043030.4027,-112282307116.28401,-34190018624.90321,-62783423417.13689,-54544542424.03004,20076279181.30568,-4309723518.460315,-7909456358765.042,-1776190189598.3003,-117602333696.92699,-9904735994.145027,-14246720584.638052,22764896730.131023,-39362852499.38903,-401722914728.2513,-36305508427.362564,2069227043200.2297
19,tiktok_under_4s_watched,1765395588.0110164,1765395588.5071309,-56319741015824.43,-29900075791116.586,-78101020460.54279,-281010721250.9185,-180326295384.2034,-61654488654.967224,-138763213548.46417,-133676380739.31282,-47525422199.24815,-27079380918.622738,-4330880052640.0156,-212562287882.16302,-3343335877.1947217,-67774547187.01873,-102538154139.34062,24070860778.08481,-41501325248.492874,-590599376146.6276,-57482644036.60498,1836039206858.5923
20,tiktok_under_4s_watched,1765395608.6833594,1765395609.1794543,-50708760026613.375,-21587434117128.152,-28884183348.049595,-235054824744.7374,-195091185963.1476,-12594199368.344372,-17719676590.181202,-60068229636.65538,-39334801796.479355,-15091831590.046461,-128921227072.66289,965036154237.5024,60908830023.96467,-69780303586.03532,-87876143860.17255,28071772946.378002,-44179233789.181366,-417523743501.9044,-37218008505.26063,2138721777796.1482
21,tiktok_under_4s_watched,1765395610.1365037,1765395610.6364987,-66577063453111.98,-31463963956850.625,-119150310418.62363,-211799795151.65833,-149330842051.34985,-55402667410.31016,-6272322400.36205,-63024402014.31244,13425095463.745815,-11783003333.461002,-4031108658443.792,-1639913855309.6155,-323768936303.2985,-61645625162.051445,-221700929969.8641,14413415239.340664,-518460421505.1211,-854667006892.735,-30610576450.606552,1449366141751.5566
22,tiktok_under_4s_watched,1765395613.370929,1765395613.8670352,-24423512742872.453,-14650668483809.773,-14502777469.432224,-162491622732.11642,-139120101471.84222,-20322497413.96283,-53952660432.796814,-9902198020.628756,-7147469678.623794,-3160877744.527582,-2312817549074.4556,-608394647538.8502,-129356724335.85545,-56025634598.729034,-78032167244.16129,50383862755.237206,-11522670315.014242,-741381758727.1644,-38214267208.07263,1935999383707.5583
23,tiktok_under_4s_watched,1765395621.6680171,1765395622.1641145,-28411849414330.19,-26901035169421.0,-46138418601.62424,-244345992161.7681,-160148550416.92743,-41381894921.84241,-69462266828.26299,-130312083293.05162,-71736778859.24887,-3709153464.864232,-5516211105572.035,-148376530267.31284,-79588612342.0767,-52918622401.1372,-191696108921.3629,17998543268.11213,-22302479610.67427,-531172168743.42334,-32864962676.520462,2279075359623.3047
24,tiktok_under_4s_watched,1765395623.6368136,1765395624.1368058,-496204549853.71246,-17924903707842.7,-66893540470.58572,-201974943103.0171,-171842519827.26083,-19196204503.563526,-44772420082.937355,-147229174201.62845,-20277616169.469482,-22039908706.18973,-1387223517993.4326,-2366479261462.707,-99508589936.90799,-70803492217.12875,-117193758313.24524,36915397169.281654,-77653062986.00955,-1907103827662.4001,-209754022739.48813,-486877304097.47107
25,tiktok_under_4s_watched,1765395664.3262568,1765395664.8223608,-9727576262698.39,-6477292542002.641,-18548363230.867733,-198421131733.4457,-154928976748.26093,-2918486464.030832,48404023872.647545,176323325090.90842,49535413425.078125,155668673.51951048,1994285895982.1296,713447296289.4363,-62550655453.917595,-22247625066.88104,-72959783666.56491,26388390527.027885,7249502254.431878,-250688107779.20538,22672902260.478912,-470816055236.1675
26,tiktok_under_4s_watched,1765395695.4051292,1765395695.901239,-47283011129920.26,-13578144076413.441,-33067778720.591255,-172631679515.15292,-175323219348.44562,-1051281751.2402464,69217910579.98566,-39954861259.74068,1232855302.489456,-10285740222.486113,-2593653241544.9795,-724410137336.514,-258029760126.096,-80298216523.11311,-125033848313.13339,36507621598.22462,-148943622500.26343,-435304702957.00006,30873302758.072456,-531551661035.8808
27,tiktok_under_4s_watched,1765395697.0457947,1765395697.545794,-16289339675530.51,-29163037482343.348,-98857808481.20183,-214826901471.6409,-172227891240.59964,-22339011651.600845,-85613444207.63783,-281830916714.7216,-12743555267.17778,-10217763153.270065,-4081674527598.138,-1334160244685.8687,-101439990085.08754,-84468580757.99937,-62974129937.98382,48865111844.23793,-662924100795.1842,-812030395080.6875,-21469425222.552357,-2244819006687.5605
28,tiktok_under_4s_watched,1765395699.7178326,1765395700.213946,-46140734470985.55,-28216284611153.816,-83038651766.31453,-227393320641.91003,-149343948831.78256,-321215109.7877085,94250546858.15657,15909152795.604984,44246933043.471054,19805081978.497997,-4896658385661.003,-1356867801461.4348,-22961081678.10654,-69668988026.51254,-80784672048.40771,9359938592.434706,-151790614813.64374,-421839714540.5105,38566414922.98158,-175386976446.68427
29,tiktok_under_4s_watched,1765395702.483631,1765395702.9797523,-28862919152517.207,-20225822622075.08,-80704624521.37993,-209624383810.34213,-157734696190.1231,-26246929874.98889,67955832935.07899,87015428779.34734,36508052324.94468,-1148757988.470582,-2653645661983.742,-882463956082.1396,-47767183251.982834,-71651394767.34392,-79140678058.39946,15228990226.17197,-129476315581.2527,-363507532154.7105,37077479092.63757,-365627170746.8743
30,tiktok_under_4s_watched,1765395709.3746789,1765395709.8707893,-21443075100711.277,-10662917136691.04,-18610861840.00039,-68049077435.909904,-64721188505.397125,-32896833154.80128,-18277510870.021084,-12115977662.504093,15308728851.390667,-10794970889.833704,1130004513253.5598,1781711359817.393,25490226886.718105,-10512321508.020105,-1408758228.7309833,23951477488.92801,-21648808271.281937,-409647578665.14087,33627531824.50703,-543047958287.1572
31,tiktok_under_4s_watched,1765395721.5158894,1765395722.0119934,-42883878897792.79,-23430869950874.92,-83390027215.61804,-185438423136.70013,-223732443704.8443,9567580256.542284,74007101633.94873,51354426083.867676,57917239666.79019,14091367960.99802,-4060574865893.4023,-2894947846674.29,-132240193976.4473,-11322838580.677652,-118489939667.86151,9453107900.939472,-359908207268.3862,-361323709366.6204,33585181489.51681,-373831547165.98553
