max_depth,min_samples_leaf,n_estimators,mean_inner_recall,pid
3,30,60,0.758,11
3,30,100,0.7559,11
1,10,30,0.8564,12
1,10,60,0.8516,12
1,10,100,0.8611,12
1,20,30,0.8913,12
1,20,60,0.7389,12
1,20,100,0.8059,12
1,30,30,0.7333,12
1,30,60,0.6,12
1,30,100,0.6667,12
2,10,30,0.8564,12
2,10,60,0.8516,12
2,10,100,0.871,12
2,20,30,0.8913,12
2,20,60,0.7389,12
2,20,100,0.8059,12
2,30,30,0.7333,12
2,30,60,0.6,12
2,30,100,0.6667,12
3,10,30,0.8564,12
3,10,60,0.8516,12
3,10,100,0.871,12
3,20,30,0.8913,12
3,20,60,0.7389,12
3,20,100,0.8059,12
3,30,30,0.7333,12
3,30,60,0.6,12
3,30,100,0.6667,12
1,10,30,0.6772,13
1,10,60,0.7107,13
1,10,100,0.7315,13
1,20,30,0.6516,13
1,20,60,0.6737,13
1,20,100,0.7511,13
1,30,30,0.477,13
1,30,60,0.4491,13
1,30,100,0.5876,13
2,10,30,0.6708,13
2,10,60,0.6914,13
2,10,100,0.693,13
2,20,30,0.6477,13
2,20,60,0.6454,13
2,20,100,0.728,13
2,30,30,0.477,13
2,30,60,0.4491,13
2,30,100,0.5876,13
3,10,30,0.6705,13
3,10,60,0.6835,13
3,10,100,0.6821,13
3,20,30,0.6477,13
3,20,60,0.6454,13
3,20,100,0.728,13
3,30,30,0.477,13
3,30,60,0.5158,13
3,30,100,0.5876,13
1,10,30,0.3795,14
1,10,60,0.3761,14
1,10,100,0.3958,14
1,20,30,0.321,14
1,20,60,0.3156,14
1,20,100,0.3235,14
1,30,30,0.3149,14
1,30,60,0.3316,14
1,30,100,0.3355,14
2,10,30,0.4319,14
2,10,60,0.4481,14
2,10,100,0.4388,14
2,20,30,0.3244,14
2,20,60,0.3416,14
2,20,100,0.3387,14
2,30,30,0.3166,14
2,30,60,0.3375,14
2,30,100,0.3314,14
3,10,30,0.4356,14
3,10,60,0.4522,14
3,10,100,0.4484,14
3,20,30,0.3287,14
3,20,60,0.3427,14
3,20,100,0.3451,14
3,30,30,0.3166,14
3,30,60,0.3375,14
3,30,100,0.3314,14
1,10,30,0.6928,15
1,10,60,0.7046,15
1,10,100,0.6806,15
1,20,30,0.518,15
1,20,60,0.5335,15
1,20,100,0.501,15
1,30,30,0.4461,15
1,30,60,0.4319,15
1,30,100,0.4052,15
2,10,30,0.7158,15
2,10,60,0.6972,15
2,10,100,0.6943,15
2,20,30,0.5088,15
2,20,60,0.5187,15
2,20,100,0.4975,15
2,30,30,0.4384,15
2,30,60,0.4313,15
2,30,100,0.4074,15
3,10,30,0.6748,15
3,10,60,0.6903,15
3,10,100,0.6824,15
3,20,30,0.5138,15
3,20,60,0.5254,15
3,20,100,0.5018,15
3,30,30,0.4384,15
3,30,60,0.4313,15
3,30,100,0.4074,15
1,10,30,0.7916,17
1,10,60,0.7858,17
1,10,100,0.786,17
1,20,30,0.7728,17
1,20,60,0.7632,17
1,20,100,0.7583,17
1,30,30,0.7293,17
1,30,60,0.7284,17
1,30,100,0.7303,17
2,10,30,0.7854,17
2,10,60,0.7989,17
2,10,100,0.8048,17
2,20,30,0.7683,17
2,20,60,0.7723,17
2,20,100,0.7734,17
2,30,30,0.7201,17
2,30,60,0.7209,17
2,30,100,0.7323,17
3,10,30,0.7782,17
3,10,60,0.7721,17
3,10,100,0.7809,17
3,20,30,0.7565,17
3,20,60,0.7555,17
3,20,100,0.7573,17
3,30,30,0.7176,17
3,30,60,0.7213,17
3,30,100,0.7253,17
1,10,30,0.7822,18
1,10,60,0.8112,18
1,10,100,0.7998,18
1,20,30,0.8003,18
1,20,60,0.8045,18
1,20,100,0.7895,18
1,30,30,0.7605,18
1,30,60,0.792,18
1,30,100,0.7866,18
2,10,30,0.8033,18
2,10,60,0.8084,18
2,10,100,0.7944,18
2,20,30,0.8022,18
2,20,60,0.7935,18
2,20,100,0.8048,18
2,30,30,0.7531,18
2,30,60,0.7812,18
2,30,100,0.7844,18
3,10,30,0.7848,18
3,10,60,0.783,18
3,10,100,0.7853,18
3,20,30,0.7871,18
3,20,60,0.7765,18
3,20,100,0.7866,18
3,30,30,0.7466,18
3,30,60,0.7797,18
3,30,100,0.7791,18
1,10,30,0.5701,20
1,10,60,0.5751,20
1,10,100,0.5619,20
1,20,30,0.5093,20
1,20,60,0.5367,20
1,20,100,0.5325,20
1,30,30,0.5144,20
1,30,60,0.4594,20
1,30,100,0.4596,20
2,10,30,0.5975,20
2,10,60,0.6027,20
2,10,100,0.5897,20
2,20,30,0.5161,20
2,20,60,0.528,20
2,20,100,0.5393,20
2,30,30,0.5254,20
2,30,60,0.4541,20
2,30,100,0.4565,20
3,10,30,0.5982,20
3,10,60,0.5936,20
3,10,100,0.5867,20
3,20,30,0.5392,20
3,20,60,0.5313,20
3,20,100,0.5369,20
3,30,30,0.5196,20
3,30,60,0.4484,20
3,30,100,0.4587,20
1,10,30,0.4046,21
1,10,60,0.4161,21
1,10,100,0.4046,21
1,20,30,0.4578,21
1,20,60,0.4425,21
1,20,100,0.4181,21
1,30,30,0.3958,21
1,30,60,0.3988,21
1,30,100,0.3958,21
2,10,30,0.4036,21
2,10,60,0.4306,21
2,10,100,0.4451,21
2,20,30,0.4605,21
2,20,60,0.4671,21
2,20,100,0.4391,21
2,30,30,0.3958,21
2,30,60,0.3988,21
2,30,100,0.3958,21
3,10,30,0.3972,21
3,10,60,0.4252,21
3,10,100,0.4519,21
3,20,30,0.4605,21
3,20,60,0.4671,21
3,20,100,0.4391,21
3,30,30,0.3958,21
3,30,60,0.3988,21
3,30,100,0.3958,21
1,10,30,0.7943,22
1,10,60,0.8029,22
1,10,100,0.8336,22
1,20,30,0.7238,22
1,20,60,0.7616,22
1,20,100,0.7692,22
1,30,30,0.6667,22
1,30,60,0.6667,22
1,30,100,0.6667,22
2,10,30,0.8031,22
2,10,60,0.8141,22
2,10,100,0.8252,22
2,20,30,0.7154,22
2,20,60,0.7655,22
2,20,100,0.7692,22
2,30,30,0.6667,22
2,30,60,0.6667,22
2,30,100,0.6667,22
3,10,30,0.8094,22
3,10,60,0.8163,22
3,10,100,0.8252,22
3,20,30,0.7154,22
3,20,60,0.7655,22
3,20,100,0.7692,22
