rank,feature_name,electrode,band,stat_type,mean_importance,std_importance,median_importance,min_importance,max_importance
59,AF8_theta_max,AF8,theta,max,0.008558937819313373,0.005350683816699752,0.006770812602066364,0.0025433599902883936,0.026077823407722526
60,TP10_theta_std,TP10,theta,std,0.00854685835053827,0.006472439801886772,0.006674195433651486,0.0011346632692185387,0.030111272600044578
61,AF7_very_high_max,AF7,very_high,max,0.008389623052771456,0.0046279261470029325,0.008232072178779356,8.613189490168812e-05,0.019960366243846756
62,TP9_low_gamma_std,TP9,low_gamma,std,0.008385142058088553,0.00455725113406437,0.00651551080549606,0.002646390299212391,0.020719207054235907
63,AF7_low_gamma_std,AF7,low_gamma,std,0.0083564452424159,0.0040155877047561555,0.007412704749066225,0.0035087392353438675,0.02147147549157397
64,AF8_high_gamma_std,AF8,high_gamma,std,0.008338222660760577,0.004348225540180813,0.007494716683881797,0.002323759883047725,0.025538313912394982
65,TP10_high_gamma_std,TP10,high_gamma,std,0.008336709477035914,0.004453680263521538,0.007099735372962692,0.003425334255961649,0.0194748043721695
66,TP9_theta_max,TP9,theta,max,0.008335405122677336,0.004435703444667476,0.00782056917211953,0.0023732454541059004,0.024085636217876363
67,TP10_high_gamma_mean,TP10,high_gamma,mean,0.008299264004130112,0.004191922043002992,0.007506963836813308,0.0,0.019005168914017365
68,TP9_high_gamma_min,TP9,high_gamma,min,0.00827746115626918,0.0032607733543404335,0.007932705455547062,0.0016877815347498765,0.020375701077310224
69,TP9_delta_min,TP9,delta,min,0.008235547087664283,0.0026743998138132963,0.007704672052076477,0.0037468507222953506,0.015845349410582677
70,TP10_very_high_mean,TP10,very_high,mean,0.008195553319544075,0.005077949356958753,0.0070638096318626905,0.0018479765407264635,0.02655009436628085
71,TP10_alpha_max,TP10,alpha,max,0.008193009798113392,0.0051998609817517265,0.006930590727977071,0.0,0.023746354416400214
72,TP10_low_gamma_mean,TP10,low_gamma,mean,0.008173631862716744,0.0035258245789345378,0.007657215415930232,0.003227860229236613,0.019080808938629096
73,AF8_theta_mean,AF8,theta,mean,0.008154894445066334,0.00349396961572214,0.007208003092807901,0.0026890742587490878,0.018792320920016394
74,AF8_beta_max,AF8,beta,max,0.008146382394701416,0.0034415659631688742,0.0074288971778424355,0.0009486130609213503,0.014644124003101545
75,TP9_theta_mean,TP9,theta,mean,0.008091111877801455,0.006023827641878668,0.005953972405328496,0.0015303042548392796,0.028047872143359517
76,TP10_alpha_mean,TP10,alpha,mean,0.008090564395324651,0.0038035151820464724,0.007495941899930805,0.003271209267854712,0.01768914103524916
77,AF8_theta_std,AF8,theta,std,0.007960381758483823,0.004619049616571225,0.007507269033788662,0.001935212418928786,0.02072970037963641
78,TP9_alpha_min,TP9,alpha,min,0.007932243033971637,0.004890841243745844,0.007066358570949362,0.0009132182418047577,0.025868275490756286
79,AF8_beta_mean,AF8,beta,mean,0.007914655842117733,0.0035950692444309262,0.006782265141997693,0.0021010512463636717,0.017152884058319152
80,AF7_low_gamma_mean,AF7,low_gamma,mean,0.007851595996435784,0.004649371238941217,0.007563447845403478,0.0027342898377877216,0.02842085872814648
81,AF8_alpha_std,AF8,alpha,std,0.007842441332131835,0.004314935245173827,0.0065933342246044455,0.0023397707416163874,0.020406102263443207
82,TP10_alpha_std,TP10,alpha,std,0.007818950977565922,0.004015952561602236,0.0075219796456595725,0.0020038395968784524,0.01796243491212632
83,TP10_low_gamma_max,TP10,low_gamma,max,0.007788761054789411,0.0036540467819319313,0.0072082865878331966,0.0023453421120570436,0.01596144276562905
84,TP9_beta_std,TP9,beta,std,0.007752536667578806,0.0035817264528474313,0.007447004826116206,0.0019295848310906263,0.018781439243459
85,AF7_beta_mean,AF7,beta,mean,0.007678006764710353,0.004391939297422987,0.007342721867859484,0.0007911957144452464,0.025072496181137258
86,AF7_alpha_max,AF7,alpha,max,0.00763635100804013,0.005360138908012116,0.006877320291048627,0.0003350999013558733,0.027122625876365936
