band,mean_aggregate_importance,std_aggregate_importance,mean_pct_of_total,std_pct_of_total,median_pct_of_total
delta,0.1753680910396811,0.05994998912858564,17.53680910396811,5.994998912858564,15.923156381841064
theta,0.1476513951422847,0.027144504985745724,14.76513951422847,2.7144504985745725,14.384385511693184
high_gamma,0.14651019272126192,0.04217541450146351,14.651019272126192,4.217541450146351,13.878543210297023
beta,0.13497170960579558,0.021013749948783588,13.49717096057956,2.101374994878359,13.489551862655249
low_gamma,0.1346945246169659,0.020773375236846348,13.469452461696589,2.0773375236846348,13.410425206043614
alpha,0.132628647052069,0.018785753138933343,13.262864705206901,1.8785753138933343,13.05084718478859
very_high,0.1281754398219418,0.022471455022269562,12.817543982194184,2.247145502226956,13.118195974579491
