Combination,Scale,Notch,Artifact_Filter,Burst_Filter,Model,Test_Recall,Train_Recall,Train_Test_Delta,Test_N,Diff_from_Baseline,Compared_To,Delta,Wilcoxon_p,Significant
Inter|Notch|Art|NoBurst|RF,Inter,Notch,Art,NoBurst,RF,0.8083535241533681,0.8476902013293863,0.03933667717601819,200.72,3,Inter|Notch|Art|NoBurst|EI,0.6846326971265815,1.2279185361336645e-05,SIG
Inter|Notch|NoArt|Burst|EI,Inter,Notch,NoArt,Burst,EI,0.17006600875699524,0.1830416981716674,0.01297568941467217,254.4,2,Intra|Notch|NoArt|Burst|EI,-0.32097449838127656,8.803606033325195e-05,SIG
Inter|Notch|NoArt|Burst|EI,Inter,Notch,NoArt,Burst,EI,0.17006600875699524,0.1830416981716674,0.01297568941467217,254.4,2,Inter|Notch|NoArt|NoBurst|EI,0.0041692919999870015,0.005062032126267864,SIG
Inter|Notch|NoArt|Burst|RF,Inter,Notch,NoArt,Burst,RF,0.7832191141319833,0.8475716736575702,0.06435255952558694,254.4,3,Intra|Notch|NoArt|Burst|RF,0.2290807987662299,0.00028705596923828125,SIG
Inter|Notch|NoArt|Burst|RF,Inter,Notch,NoArt,Burst,RF,0.7832191141319833,0.8475716736575702,0.06435255952558694,254.4,3,Inter|Notch|NoArt|NoBurst|RF,0.10823632725852639,0.004604637622833252,SIG
Inter|Notch|NoArt|Burst|RF,Inter,Notch,NoArt,Burst,RF,0.7832191141319833,0.8475716736575702,0.06435255952558694,254.4,3,Inter|Notch|NoArt|Burst|EI,0.6131531053749881,1.1324882507324219e-06,SIG
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.12759554528512176,0.14530231853364375,0.01770677324852199,200.0,3,Intra|Notch|Art|Burst|EI,-0.36044825028002725,3.1948089599609375e-05,SIG
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.12759554528512176,0.14530231853364375,0.01770677324852199,200.0,3,Inter|Notch|Art|NoBurst|EI,0.0038747182583351164,0.1548598252820037,ns
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.12759554528512176,0.14530231853364375,0.01770677324852199,200.0,3,Inter|Notch|NoArt|Burst|EI,-0.04247046347187347,0.00014360856762163124,SIG
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.865010712929521,0.8817582274340074,0.016747514504486416,200.0,4,Intra|Notch|Art|Burst|RF,0.3063980838523467,4.172325134277344e-06,SIG
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.865010712929521,0.8817582274340074,0.016747514504486416,200.0,4,Inter|Notch|Art|NoBurst|RF,0.05665718877615289,0.035479948495524216,SIG
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.865010712929521,0.8817582274340074,0.016747514504486416,200.0,4,Inter|Notch|NoArt|Burst|RF,0.08179159879753772,0.10139739513397217,ns
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.865010712929521,0.8817582274340074,0.016747514504486416,200.0,4,Inter|Notch|Art|Burst|EI,0.7374151676443993,1.2279185361336645e-05,SIG
