max_depth,min_samples_leaf,n_estimators,mean_inner_recall,pid
3,30,60,0.6543,11
3,30,100,0.6671,11
1,10,30,0.428,12
1,10,60,0.4483,12
1,10,100,0.454,12
1,20,30,0.4385,12
1,20,60,0.4363,12
1,20,100,0.4595,12
1,30,30,0.4119,12
1,30,60,0.4397,12
1,30,100,0.4444,12
2,10,30,0.4712,12
2,10,60,0.4989,12
2,10,100,0.515,12
2,20,30,0.4489,12
2,20,60,0.4725,12
2,20,100,0.4699,12
2,30,30,0.4093,12
2,30,60,0.4363,12
2,30,100,0.4414,12
3,10,30,0.482,12
3,10,60,0.4867,12
3,10,100,0.4912,12
3,20,30,0.4464,12
3,20,60,0.4678,12
3,20,100,0.4718,12
3,30,30,0.4074,12
3,30,60,0.4342,12
3,30,100,0.4414,12
1,10,30,0.5258,13
1,10,60,0.5294,13
1,10,100,0.5218,13
1,20,30,0.501,13
1,20,60,0.5142,13
1,20,100,0.5097,13
1,30,30,0.516,13
1,30,60,0.5052,13
1,30,100,0.5036,13
2,10,30,0.5309,13
2,10,60,0.5314,13
2,10,100,0.5172,13
2,20,30,0.5061,13
2,20,60,0.5003,13
2,20,100,0.4983,13
2,30,30,0.5147,13
2,30,60,0.5123,13
2,30,100,0.5142,13
3,10,30,0.5351,13
3,10,60,0.5254,13
3,10,100,0.5162,13
3,20,30,0.5096,13
3,20,60,0.5003,13
3,20,100,0.5043,13
3,30,30,0.5225,13
3,30,60,0.5188,13
3,30,100,0.5162,13
1,10,30,0.5295,14
1,10,60,0.5543,14
1,10,100,0.553,14
1,20,30,0.5484,14
1,20,60,0.5638,14
1,20,100,0.5659,14
1,30,30,0.5466,14
1,30,60,0.5654,14
1,30,100,0.5756,14
2,10,30,0.5603,14
2,10,60,0.5635,14
2,10,100,0.5657,14
2,20,30,0.5596,14
2,20,60,0.5657,14
2,20,100,0.5725,14
2,30,30,0.5644,14
2,30,60,0.5729,14
2,30,100,0.5871,14
3,10,30,0.567,14
3,10,60,0.5707,14
3,10,100,0.5755,14
3,20,30,0.5755,14
3,20,60,0.5734,14
3,20,100,0.583,14
3,30,30,0.5734,14
3,30,60,0.5888,14
3,30,100,0.5917,14
1,10,30,0.5262,15
1,10,60,0.5456,15
1,10,100,0.5489,15
1,20,30,0.5444,15
1,20,60,0.5514,15
1,20,100,0.5537,15
1,30,30,0.5258,15
1,30,60,0.5464,15
1,30,100,0.5519,15
2,10,30,0.5318,15
2,10,60,0.5251,15
2,10,100,0.5378,15
2,20,30,0.5237,15
2,20,60,0.5364,15
2,20,100,0.5546,15
2,30,30,0.5478,15
2,30,60,0.5483,15
2,30,100,0.5558,15
3,10,30,0.5486,15
3,10,60,0.5415,15
3,10,100,0.5426,15
3,20,30,0.5414,15
3,20,60,0.5469,15
3,20,100,0.5573,15
3,30,30,0.5531,15
3,30,60,0.5422,15
3,30,100,0.5545,15
1,10,30,0.6254,17
1,10,60,0.6466,17
1,10,100,0.6551,17
1,20,30,0.6243,17
1,20,60,0.6462,17
1,20,100,0.6481,17
1,30,30,0.6269,17
1,30,60,0.6407,17
1,30,100,0.6472,17
2,10,30,0.6375,17
2,10,60,0.6488,17
2,10,100,0.6512,17
2,20,30,0.6244,17
2,20,60,0.6449,17
2,20,100,0.642,17
2,30,30,0.6188,17
2,30,60,0.6419,17
2,30,100,0.6374,17
3,10,30,0.6359,17
3,10,60,0.6333,17
3,10,100,0.6438,17
3,20,30,0.6261,17
3,20,60,0.6422,17
3,20,100,0.6396,17
3,30,30,0.6082,17
3,30,60,0.6364,17
3,30,100,0.6358,17
1,10,30,0.5182,18
1,10,60,0.5226,18
1,10,100,0.5309,18
1,20,30,0.5194,18
1,20,60,0.52,18
1,20,100,0.5325,18
1,30,30,0.5098,18
1,30,60,0.5172,18
1,30,100,0.519,18
2,10,30,0.5473,18
2,10,60,0.555,18
2,10,100,0.5476,18
2,20,30,0.5487,18
2,20,60,0.5585,18
2,20,100,0.5539,18
2,30,30,0.5399,18
2,30,60,0.5461,18
2,30,100,0.5507,18
3,10,30,0.5595,18
3,10,60,0.5626,18
3,10,100,0.5592,18
3,20,30,0.5529,18
3,20,60,0.5598,18
3,20,100,0.5541,18
3,30,30,0.5357,18
3,30,60,0.5463,18
3,30,100,0.555,18
1,10,30,0.542,20
1,10,60,0.5201,20
1,10,100,0.5437,20
1,20,30,0.5416,20
1,20,60,0.5257,20
1,20,100,0.5469,20
1,30,30,0.549,20
1,30,60,0.5331,20
1,30,100,0.5543,20
2,10,30,0.5585,20
2,10,60,0.5462,20
2,10,100,0.5622,20
2,20,30,0.5553,20
2,20,60,0.5527,20
2,20,100,0.5621,20
2,30,30,0.5511,20
2,30,60,0.5529,20
2,30,100,0.5661,20
3,10,30,0.5723,20
3,10,60,0.5591,20
3,10,100,0.5744,20
3,20,30,0.5702,20
3,20,60,0.5595,20
3,20,100,0.5736,20
3,30,30,0.5665,20
3,30,60,0.5591,20
3,30,100,0.5718,20
1,10,30,0.5552,21
1,10,60,0.5425,21
1,10,100,0.5499,21
1,20,30,0.5506,21
1,20,60,0.5488,21
1,20,100,0.5542,21
1,30,30,0.5548,21
1,30,60,0.559,21
1,30,100,0.5584,21
2,10,30,0.5692,21
2,10,60,0.5715,21
2,10,100,0.5734,21
2,20,30,0.5658,21
2,20,60,0.5628,21
2,20,100,0.5637,21
2,30,30,0.5565,21
2,30,60,0.5579,21
2,30,100,0.5611,21
3,10,30,0.5671,21
3,10,60,0.5707,21
3,10,100,0.5813,21
3,20,30,0.5728,21
3,20,60,0.5703,21
3,20,100,0.5682,21
3,30,30,0.5509,21
3,30,60,0.5548,21
3,30,100,0.5544,21
1,10,30,0.6368,22
1,10,60,0.6267,22
1,10,100,0.6277,22
1,20,30,0.6231,22
1,20,60,0.6297,22
1,20,100,0.6353,22
1,30,30,0.5581,22
1,30,60,0.5625,22
1,30,100,0.5711,22
2,10,30,0.6174,22
2,10,60,0.626,22
2,10,100,0.5979,22
2,20,30,0.6161,22
2,20,60,0.6237,22
2,20,100,0.6256,22
2,30,30,0.5472,22
2,30,60,0.5722,22
2,30,100,0.5611,22
3,10,30,0.615,22
3,10,60,0.6225,22
3,10,100,0.5977,22
3,20,30,0.617,22
3,20,60,0.6093,22
3,20,100,0.6182,22
3,30,30,0.5442,22
3,30,60,0.5698,22
3,30,100,0.5564,22
1,10,30,0.5958,23
1,10,60,0.5671,23
1,10,100,0.5703,23
1,20,30,0.5814,23
1,20,60,0.572,23
1,20,100,0.5708,23
1,30,30,0.5794,23
1,30,60,0.5618,23
1,30,100,0.5605,23
2,10,30,0.5778,23
2,10,60,0.5701,23
2,10,100,0.5802,23
2,20,30,0.5849,23
2,20,60,0.5718,23
2,20,100,0.5769,23
2,30,30,0.5852,23
2,30,60,0.5624,23
2,30,100,0.5649,23
3,10,30,0.5854,23
3,10,60,0.5912,23
3,10,100,0.5844,23
3,20,30,0.5808,23
3,20,60,0.5875,23
3,20,100,0.5848,23
3,30,30,0.5785,23
3,30,60,0.5637,23
3,30,100,0.5745,23
1,10,30,0.5046,24
1,10,60,0.5144,24
1,10,100,0.5278,24
1,20,30,0.5051,24
1,20,60,0.516,24
1,20,100,0.5245,24
1,30,30,0.5178,24
1,30,60,0.5204,24
1,30,100,0.5235,24
2,10,30,0.5472,24
2,10,60,0.5328,24
2,10,100,0.5344,24
2,20,30,0.5317,24
2,20,60,0.5331,24
2,20,100,0.5278,24
2,30,30,0.55,24
2,30,60,0.5344,24
2,30,100,0.5326,24
3,10,30,0.5558,24
3,10,60,0.5436,24
3,10,100,0.5397,24
3,20,30,0.5658,24
3,20,60,0.5447,24
3,20,100,0.5446,24
3,30,30,0.5536,24
3,30,60,0.5496,24
3,30,100,0.5446,24
1,10,30,0.5826,25
1,10,60,0.5903,25
1,10,100,0.5899,25
1,20,30,0.5814,25
1,20,60,0.5932,25
1,20,100,0.5949,25
1,30,30,0.5771,25
1,30,60,0.5815,25
1,30,100,0.5858,25
2,10,30,0.5613,25
2,10,60,0.5696,25
2,10,100,0.576,25
2,20,30,0.5678,25
2,20,60,0.5641,25
2,20,100,0.578,25
2,30,30,0.5685,25
2,30,60,0.5658,25
2,30,100,0.5776,25
3,10,30,0.5634,25
3,10,60,0.5799,25
3,10,100,0.5793,25
3,20,30,0.5755,25
3,20,60,0.5725,25
3,20,100,0.5849,25
3,30,30,0.564,25
3,30,60,0.5588,25
3,30,100,0.565,25
1,10,30,0.6427,26
1,10,60,0.622,26
1,10,100,0.626,26
1,20,30,0.6303,26
