Rank,Feature,Mean Gini,SD,Electrode,Band
1,TP10_theta_peakfreq,0.017635,0.020105,TP10,theta
2,TP9_theta_peakfreq,0.016973,0.01881,TP9,theta
3,AF8_theta_peakfreq,0.014696,0.017278,AF8,theta
4,TP10_very_high_macrofreq,0.014225,0.018053,TP10,very_high
5,TP10_delta_macrofreq,0.013092,0.012909,TP10,delta
6,AF7_high_gamma_peakfreq,0.012328,0.011581,AF7,high_gamma
7,TP9_high_gamma_peakfreq,0.012171,0.011801,TP9,high_gamma
8,AF7_delta_macrofreq,0.011271,0.009611,AF7,delta
9,AF8_theta_macrofreq,0.011064,0.009771,AF8,theta
10,TP9_delta_macrofreq,0.010873,0.010178,TP9,delta
11,AF8_high_gamma_peakfreq,0.0108,0.011177,AF8,high_gamma
12,TP10_high_gamma_peakfreq,0.01028,0.010352,TP10,high_gamma
13,AF8_delta_mean,0.009515,0.018337,AF8,delta
14,AF8_delta_macrofreq,0.009486,0.009515,AF8,delta
15,TP9_very_high_macrofreq,0.009427,0.010314,TP9,very_high
16,TP10_theta_macrofreq,0.008151,0.009421,TP10,theta
17,TP10_delta_hjorth_act,0.007945,0.008729,TP10,delta
18,TP9_theta_macrofreq,0.007903,0.006895,TP9,theta
19,AF7_very_high_macrofreq,0.007515,0.010256,AF7,very_high
20,TP9_low_gamma_macrofreq,0.007426,0.008097,TP9,low_gamma
21,TP10_delta_mean,0.007386,0.009318,TP10,delta
22,AF7_theta_peakfreq,0.007349,0.011576,AF7,theta
23,TP10_delta_std,0.007075,0.007851,TP10,delta
24,TP10_low_gamma_macrofreq,0.007047,0.007638,TP10,low_gamma
25,AF7_theta_macrofreq,0.006849,0.005875,AF7,theta
26,AF8_delta_hjorth_act,0.00668,0.010012,AF8,delta
27,TP10_delta_max,0.006582,0.007859,TP10,delta
28,TP9_alpha_macrofreq,0.006533,0.003931,TP9,alpha
29,TP10_delta_peakfreq,0.006359,0.008133,TP10,delta
30,AF8_delta_std,0.006273,0.008244,AF8,delta
31,AF7_alpha_macrofreq,0.006005,0.005315,AF7,alpha
32,AF8_alpha_std,0.005688,0.010046,AF8,alpha
33,AF8_alpha_macrofreq,0.005556,0.004897,AF8,alpha
34,AF8_delta_max,0.005349,0.006539,AF8,delta
35,AF8_delta_peakfreq,0.005204,0.004439,AF8,delta
36,AF8_alpha_hjorth_act,0.004787,0.007823,AF8,alpha
37,AF8_alpha_max,0.004743,0.008813,AF8,alpha
38,AF8_very_high_macrofreq,0.004671,0.006945,AF8,very_high
39,AF8_high_gamma_hjorth_comp,0.00461,0.004346,AF8,high_gamma
40,TP10_theta_max,0.004519,0.006341,TP10,theta
41,TP10_alpha_macrofreq,0.004498,0.003317,TP10,alpha
42,TP9_alpha_peakfreq,0.004466,0.005019,TP9,alpha
43,AF8_theta_max,0.004451,0.004866,AF8,theta
44,TP9_theta_mean,0.00445,0.002238,TP9,theta
45,AF7_delta_hjorth_act,0.004439,0.003759,AF7,delta
46,AF8_theta_hjorth_act,0.004428,0.005446,AF8,theta
47,TP10_high_gamma_macrofreq,0.004403,0.003814,TP10,high_gamma
48,TP10_alpha_peakfreq,0.004337,0.004691,TP10,alpha
49,AF8_theta_hjorth_mob,0.00433,0.00425,AF8,theta
50,AF8_theta_std,0.004327,0.004957,AF8,theta
51,TP9_theta_std,0.004316,0.002561,TP9,theta
52,TP9_delta_peakfreq,0.00431,0.004176,TP9,delta
53,TP9_high_gamma_hjorth_comp,0.004269,0.005391,TP9,high_gamma
54,AF7_delta_peakfreq,0.004108,0.004014,AF7,delta
55,AF7_alpha_hjorth_comp,0.004068,0.003155,AF7,alpha
56,TP9_high_gamma_hjorth_mob,0.004061,0.004756,TP9,high_gamma
57,TP9_high_gamma_macrofreq,0.004055,0.002669,TP9,high_gamma
58,AF8_beta_hjorth_act,0.004014,0.004107,AF8,beta
59,AF7_delta_hjorth_comp,0.003966,0.003931,AF7,delta
60,AF7_low_gamma_macrofreq,0.003961,0.003827,AF7,low_gamma
61,TP10_theta_hjorth_comp,0.003951,0.003973,TP10,theta
62,TP10_high_gamma_min,0.003889,0.003405,TP10,high_gamma
63,TP10_high_gamma_hjorth_comp,0.003874,0.003826,TP10,high_gamma
64,AF8_theta_mean,0.003843,0.003694,AF8,theta
65,TP9_beta_macrofreq,0.003837,0.003198,TP9,beta
66,AF7_delta_hjorth_mob,0.003786,0.002882,AF7,delta
67,TP10_delta_hjorth_mob,0.00372,0.002723,TP10,delta
68,TP10_beta_std,0.003704,0.002449,TP10,beta
69,AF8_low_gamma_macrofreq,0.003684,0.003395,AF8,low_gamma
70,AF7_delta_std,0.003682,0.00321,AF7,delta
71,AF8_delta_rel_power,0.003665,0.006472,AF8,delta
72,TP10_beta_hjorth_comp,0.003657,0.003207,TP10,beta
73,TP10_high_gamma_hjorth_mob,0.003652,0.003755,TP10,high_gamma
74,TP10_beta_mean,0.003647,0.00293,TP10,beta
75,TP10_alpha_mean,0.003629,0.002858,TP10,alpha
76,AF8_high_gamma_hjorth_mob,0.003626,0.003722,AF8,high_gamma
77,AF7_alpha_peakfreq,0.003622,0.003313,AF7,alpha
78,TP10_theta_hjorth_mob,0.003599,0.002726,TP10,theta
79,AF8_beta_max,0.003586,0.002387,AF8,beta
80,AF7_alpha_hjorth_mob,0.003545,0.002749,AF7,alpha
81,TP10_alpha_hjorth_act,0.003537,0.002577,TP10,alpha
82,AF8_beta_mean,0.003522,0.002346,AF8,beta
83,AF8_low_gamma_mean,0.003514,0.002915,AF8,low_gamma
84,TP10_very_high_hjorth_comp,0.003514,0.004109,TP10,very_high
85,TP10_low_gamma_std,0.003513,0.003201,TP10,low_gamma
86,TP10_beta_macrofreq,0.00349,0.002674,TP10,beta
87,TP10_theta_min,0.003489,0.002787,TP10,theta
88,AF7_delta_mean,0.003479,0.002313,AF7,delta
89,TP10_beta_hjorth_mob,0.003467,0.002062,TP10,beta
90,AF8_alpha_hjorth_comp,0.003461,0.004027,AF8,alpha
91,TP10_theta_hjorth_act,0.003437,0.004298,TP10,theta
92,AF7_beta_hjorth_mob,0.003434,0.002353,AF7,beta
93,AF7_delta_max,0.003424,0.002824,AF7,delta
94,AF8_low_gamma_std,0.003418,0.002684,AF8,low_gamma
95,AF7_beta_std,0.003412,0.003453,AF7,beta
96,AF8_high_gamma_macrofreq,0.00339,0.003133,AF8,high_gamma
97,TP10_theta_std,0.003382,0.0037,TP10,theta
98,AF8_beta_std,0.003381,0.002252,AF8,beta
99,TP9_theta_hjorth_mob,0.003377,0.002704,TP9,theta
100,TP10_low_gamma_max,0.003349,0.003092,TP10,low_gamma
101,TP9_theta_hjorth_act,0.003336,0.001707,TP9,theta
102,TP9_theta_hjorth_comp,0.003318,0.003288,TP9,theta
103,AF8_low_gamma_max,0.003308,0.002044,AF8,low_gamma
104,AF8_beta_hjorth_mob,0.003305,0.002366,AF8,beta
105,TP10_theta_mean,0.003276,0.003758,TP10,theta
106,TP9_delta_std,0.00325,0.00234,TP9,delta
107,TP9_very_high_std,0.003241,0.002549,TP9,very_high
108,TP10_low_gamma_mean,0.00322,0.003321,TP10,low_gamma
109,AF8_very_high_hjorth_comp,0.003218,0.002585,AF8,very_high
110,AF8_high_gamma_max,0.003204,0.003181,AF8,high_gamma
111,TP10_alpha_max,0.003201,0.002511,TP10,alpha
112,AF7_theta_max,0.00318,0.002818,AF7,theta
113,TP9_low_gamma_hjorth_comp,0.003178,0.002623,TP9,low_gamma
114,TP9_beta_hjorth_comp,0.003154,0.003635,TP9,beta
115,AF8_very_high_max,0.00315,0.002992,AF8,very_high
116,AF7_theta_hjorth_comp,0.003131,0.002203,AF7,theta
117,AF7_beta_hjorth_comp,0.003124,0.002413,AF7,beta
118,AF7_beta_peakfreq,0.003113,0.0039,AF7,beta
119,AF7_alpha_max,0.003112,0.002458,AF7,alpha
120,TP10_very_high_max,0.003106,0.003294,TP10,very_high
121,AF8_delta_hjorth_mob,0.003093,0.002197,AF8,delta
122,TP9_alpha_max,0.003089,0.003919,TP9,alpha
123,AF8_beta_hjorth_comp,0.00308,0.002448,AF8,beta
124,AF7_high_gamma_max,0.003062,0.002433,AF7,high_gamma
125,AF7_theta_mean,0.00304,0.00241,AF7,theta
126,AF8_alpha_hjorth_mob,0.003039,0.003046,AF8,alpha
127,TP10_low_gamma_hjorth_mob,0.003024,0.002372,TP10,low_gamma
128,AF7_low_gamma_std,0.003011,0.001829,AF7,low_gamma
129,AF8_very_high_mean,0.002997,0.002292,AF8,very_high
130,TP9_low_gamma_hjorth_mob,0.002994,0.002211,TP9,low_gamma
131,AF8_delta_hjorth_comp,0.002962,0.001873,AF8,delta
132,AF7_theta_hjorth_act,0.00296,0.002793,AF7,theta
133,AF7_alpha_std,0.002959,0.00252,AF7,alpha
134,AF8_high_gamma_mean,0.002941,0.002752,AF8,high_gamma
135,TP10_low_gamma_hjorth_act,0.002922,0.00258,TP10,low_gamma
136,TP9_beta_hjorth_mob,0.002913,0.002135,TP9,beta
137,AF7_high_gamma_hjorth_mob,0.002912,0.001935,AF7,high_gamma
138,TP9_delta_hjorth_comp,0.002886,0.002407,TP9,delta
139,AF7_high_gamma_mean,0.00288,0.002796,AF7,high_gamma
140,TP10_very_high_std,0.002878,0.003642,TP10,very_high
141,TP10_low_gamma_min,0.002871,0.002538,TP10,low_gamma
142,AF7_high_gamma_hjorth_act,0.002869,0.002484,AF7,high_gamma
143,TP9_alpha_hjorth_act,0.002869,0.003488,TP9,alpha
144,AF7_low_gamma_hjorth_mob,0.002867,0.001694,AF7,low_gamma
145,TP10_low_gamma_hjorth_comp,0.00286,0.002494,TP10,low_gamma
146,TP9_theta_max,0.002848,0.001691,TP9,theta
147,TP10_alpha_min,0.002843,0.002359,TP10,alpha
148,TP10_alpha_std,0.002832,0.002579,TP10,alpha
149,AF8_very_high_std,0.002828,0.00208,AF8,very_high
150,AF8_low_gamma_hjorth_act,0.002828,0.002258,AF8,low_gamma
151,TP10_beta_hjorth_act,0.002825,0.002438,TP10,beta
