Rank,Feature,Mean Gini,SD,Electrode,Band
152,TP9_very_high_hjorth_comp,0.002819,0.003606,TP9,very_high
153,AF7_high_gamma_std,0.002818,0.002801,AF7,high_gamma
154,TP9_delta_hjorth_act,0.002802,0.002408,TP9,delta
155,TP9_high_gamma_max,0.002793,0.002767,TP9,high_gamma
156,AF7_beta_mean,0.002778,0.00212,AF7,beta
157,AF7_high_gamma_macrofreq,0.002766,0.001769,AF7,high_gamma
158,TP10_beta_max,0.002735,0.001772,TP10,beta
159,TP9_high_gamma_mean,0.002726,0.002597,TP9,high_gamma
160,AF7_high_gamma_min,0.002715,0.00206,AF7,high_gamma
161,TP9_alpha_std,0.002707,0.002786,TP9,alpha
162,AF8_theta_hjorth_comp,0.002701,0.002351,AF8,theta
163,AF8_high_gamma_std,0.002693,0.002633,AF8,high_gamma
164,TP10_very_high_rel_power,0.002686,0.003056,TP10,very_high
165,TP9_beta_peakfreq,0.002666,0.003317,TP9,beta
166,TP9_very_high_hjorth_act,0.002663,0.001905,TP9,very_high
167,TP10_very_high_mean,0.002657,0.00335,TP10,very_high
168,TP9_theta_min,0.002649,0.002022,TP9,theta
169,TP10_very_high_hjorth_act,0.002622,0.003794,TP10,very_high
170,TP9_low_gamma_mean,0.002616,0.001954,TP9,low_gamma
171,TP9_delta_max,0.002604,0.001513,TP9,delta
172,TP9_high_gamma_hjorth_act,0.0026,0.002398,TP9,high_gamma
173,TP9_alpha_mean,0.002581,0.002291,TP9,alpha
174,AF8_high_gamma_hjorth_act,0.002569,0.002739,AF8,high_gamma
175,AF8_very_high_hjorth_mob,0.002562,0.001659,AF8,very_high
176,TP9_high_gamma_std,0.002556,0.003995,TP9,high_gamma
177,AF8_alpha_mean,0.002552,0.00258,AF8,alpha
178,TP9_very_high_min,0.00254,0.00252,TP9,very_high
179,AF7_theta_hjorth_mob,0.002535,0.001907,AF7,theta
180,AF7_very_high_hjorth_comp,0.002529,0.002123,AF7,very_high
181,TP9_alpha_hjorth_mob,0.00252,0.001627,TP9,alpha
182,TP9_beta_std,0.002517,0.001209,TP9,beta
183,AF7_alpha_mean,0.002514,0.00182,AF7,alpha
184,TP10_very_high_hjorth_mob,0.002491,0.002056,TP10,very_high
185,AF7_low_gamma_hjorth_comp,0.002474,0.002209,AF7,low_gamma
186,TP10_delta_hjorth_comp,0.00247,0.00186,TP10,delta
187,AF7_very_high_min,0.002467,0.001861,AF7,very_high
188,AF7_beta_max,0.002464,0.001766,AF7,beta
189,TP9_high_gamma_min,0.002452,0.001635,TP9,high_gamma
190,TP9_delta_mean,0.002446,0.001579,TP9,delta
191,TP9_beta_mean,0.002444,0.001472,TP9,beta
192,TP10_alpha_hjorth_mob,0.002444,0.001744,TP10,alpha
193,AF8_low_gamma_rel_power,0.00244,0.003758,AF8,low_gamma
194,AF7_beta_hjorth_act,0.002428,0.002485,AF7,beta
195,TP10_high_gamma_rel_power,0.002416,0.003766,TP10,high_gamma
196,AF7_very_high_hjorth_mob,0.002416,0.001538,AF7,very_high
197,TP9_very_high_max,0.002416,0.002441,TP9,very_high
198,AF8_high_gamma_min,0.002415,0.001744,AF8,high_gamma
199,TP9_alpha_min,0.00241,0.002214,TP9,alpha
200,AF7_beta_macrofreq,0.002409,0.002048,AF7,beta
201,AF8_alpha_peakfreq,0.002383,0.001804,AF8,alpha
202,AF7_theta_std,0.002381,0.001984,AF7,theta
203,AF7_theta_min,0.002366,0.001974,AF7,theta
204,TP9_beta_max,0.002361,0.001295,TP9,beta
205,AF8_very_high_hjorth_act,0.002354,0.001477,AF8,very_high
206,AF7_low_gamma_max,0.002351,0.001751,AF7,low_gamma
207,TP9_very_high_mean,0.002328,0.001338,TP9,very_high
208,AF8_alpha_min,0.002274,0.002482,AF8,alpha
209,TP9_very_high_hjorth_mob,0.002267,0.001596,TP9,very_high
210,AF7_high_gamma_hjorth_comp,0.002258,0.001427,AF7,high_gamma
211,TP9_delta_hjorth_mob,0.002243,0.001634,TP9,delta
212,TP10_very_high_min,0.002227,0.001946,TP10,very_high
213,AF7_low_gamma_hjorth_act,0.002178,0.001493,AF7,low_gamma
214,TP9_low_gamma_peakfreq,0.002175,0.002028,TP9,low_gamma
215,AF7_alpha_min,0.002168,0.002255,AF7,alpha
216,TP10_alpha_hjorth_comp,0.002167,0.001501,TP10,alpha
217,TP9_theta_rel_power,0.002158,0.002324,TP9,theta
218,TP9_low_gamma_std,0.00215,0.001525,TP9,low_gamma
219,TP9_beta_hjorth_act,0.002146,0.001344,TP9,beta
220,AF7_very_high_hjorth_act,0.002127,0.0012,AF7,very_high
221,TP10_high_gamma_max,0.002126,0.001298,TP10,high_gamma
222,TP10_low_gamma_rel_power,0.00212,0.002905,TP10,low_gamma
223,TP10_delta_rel_power,0.002107,0.002265,TP10,delta
224,AF8_low_gamma_min,0.002091,0.002368,AF8,low_gamma
225,AF8_beta_rel_power,0.00209,0.002051,AF8,beta
226,TP10_high_gamma_std,0.002082,0.001113,TP10,high_gamma
227,AF8_low_gamma_hjorth_comp,0.002058,0.000921,AF8,low_gamma
228,AF7_low_gamma_mean,0.002039,0.001567,AF7,low_gamma
229,TP9_alpha_rel_power,0.002003,0.002668,TP9,alpha
230,TP10_very_high_peakfreq,0.002003,0.001682,TP10,very_high
231,TP9_delta_rel_power,0.001983,0.00174,TP9,delta
232,AF8_beta_macrofreq,0.001982,0.001148,AF8,beta
233,AF8_low_gamma_hjorth_mob,0.001973,0.001094,AF8,low_gamma
234,AF8_high_gamma_rel_power,0.001971,0.002243,AF8,high_gamma
235,AF7_very_high_peakfreq,0.001944,0.001284,AF7,very_high
236,TP10_alpha_rel_power,0.001932,0.002059,TP10,alpha
237,AF7_very_high_std,0.001925,0.001342,AF7,very_high
238,AF8_very_high_peakfreq,0.00192,0.0016,AF8,very_high
239,AF8_theta_min,0.001867,0.001321,AF8,theta
240,TP10_beta_peakfreq,0.001867,0.001064,TP10,beta
241,TP9_very_high_rel_power,0.001864,0.001929,TP9,very_high
242,TP10_high_gamma_hjorth_act,0.001861,0.001188,TP10,high_gamma
243,AF7_alpha_hjorth_act,0.001853,0.001131,AF7,alpha
244,AF8_very_high_min,0.00184,0.001921,AF8,very_high
245,AF7_low_gamma_min,0.001833,0.001674,AF7,low_gamma
246,TP9_low_gamma_min,0.001826,0.001493,TP9,low_gamma
247,TP9_beta_min,0.001804,0.001794,TP9,beta
248,AF7_delta_rel_power,0.001787,0.002398,AF7,delta
249,TP9_alpha_hjorth_comp,0.001765,0.001227,TP9,alpha
250,TP10_theta_rel_power,0.001755,0.002301,TP10,theta
251,AF8_delta_min,0.001748,0.002301,AF8,delta
252,AF8_beta_min,0.001745,0.002135,AF8,beta
253,AF7_very_high_max,0.001744,0.001162,AF7,very_high
254,AF7_low_gamma_rel_power,0.001744,0.002469,AF7,low_gamma
255,TP9_low_gamma_max,0.001725,0.00106,TP9,low_gamma
256,AF8_beta_peakfreq,0.001711,0.000966,AF8,beta
257,TP10_beta_min,0.001705,0.001648,TP10,beta
258,TP9_low_gamma_hjorth_act,0.00169,0.001295,TP9,low_gamma
259,AF7_beta_min,0.001626,0.001277,AF7,beta
260,TP9_beta_rel_power,0.001608,0.001836,TP9,beta
261,AF7_high_gamma_rel_power,0.001604,0.001718,AF7,high_gamma
262,AF7_very_high_mean,0.001582,0.001099,AF7,very_high
263,AF8_low_gamma_peakfreq,0.001577,0.000835,AF8,low_gamma
264,AF8_very_high_rel_power,0.001576,0.00172,AF8,very_high
265,AF8_alpha_rel_power,0.001573,0.001629,AF8,alpha
266,AF7_low_gamma_peakfreq,0.001523,0.001115,AF7,low_gamma
267,TP10_high_gamma_mean,0.00152,0.000782,TP10,high_gamma
268,TP9_low_gamma_rel_power,0.001492,0.001406,TP9,low_gamma
269,AF7_delta_min,0.001475,0.001212,AF7,delta
270,AF8_theta_rel_power,0.001463,0.001908,AF8,theta
271,TP9_very_high_peakfreq,0.001433,0.001358,TP9,very_high
272,TP10_beta_rel_power,0.001415,0.001212,TP10,beta
273,AF7_beta_rel_power,0.001398,0.00142,AF7,beta
274,TP9_high_gamma_rel_power,0.001294,0.001316,TP9,high_gamma
275,AF7_very_high_rel_power,0.001286,0.001649,AF7,very_high
276,AF7_alpha_rel_power,0.001235,0.001685,AF7,alpha
277,AF7_theta_rel_power,0.001219,0.001516,AF7,theta
278,TP10_low_gamma_peakfreq,0.001153,0.000799,TP10,low_gamma
279,TP10_delta_min,0.001042,0.001111,TP10,delta
280,TP9_delta_min,0.000877,0.000774,TP9,delta
