Rank,Feature,Mean Gini,SD,Electrode,Band
1,TP9_theta_peakfreq,0.017075,0.019279,TP9,theta
2,TP10_theta_peakfreq,0.016593,0.018819,TP10,theta
3,AF8_theta_peakfreq,0.014428,0.016694,AF8,theta
4,TP10_very_high_macrofreq,0.012883,0.016707,TP10,very_high
5,TP10_delta_macrofreq,0.011117,0.009904,TP10,delta
6,TP9_high_gamma_peakfreq,0.010613,0.010201,TP9,high_gamma
7,AF8_high_gamma_peakfreq,0.010283,0.010622,AF8,high_gamma
8,TP9_delta_macrofreq,0.010173,0.009771,TP9,delta
9,AF7_high_gamma_peakfreq,0.010144,0.010113,AF7,high_gamma
10,AF8_theta_macrofreq,0.01004,0.00905,AF8,theta
11,AF8_delta_macrofreq,0.009766,0.00957,AF8,delta
12,TP9_very_high_macrofreq,0.00959,0.010509,TP9,very_high
13,TP10_high_gamma_peakfreq,0.009334,0.008827,TP10,high_gamma
14,AF7_delta_macrofreq,0.00896,0.008649,AF7,delta
15,AF7_theta_peakfreq,0.008585,0.013522,AF7,theta
16,TP10_theta_macrofreq,0.008042,0.00836,TP10,theta
17,TP9_theta_macrofreq,0.008029,0.006909,TP9,theta
18,AF8_delta_mean,0.007309,0.013102,AF8,delta
19,AF8_delta_std,0.006877,0.011856,AF8,delta
20,TP10_delta_hjorth_act,0.006765,0.007206,TP10,delta
21,AF8_delta_hjorth_act,0.00669,0.011863,AF8,delta
22,AF8_delta_max,0.006649,0.011304,AF8,delta
23,AF7_theta_macrofreq,0.006445,0.005491,AF7,theta
24,TP10_delta_peakfreq,0.006371,0.008057,TP10,delta
25,TP10_delta_std,0.006006,0.006462,TP10,delta
26,AF7_very_high_macrofreq,0.006002,0.008231,AF7,very_high
27,TP10_delta_mean,0.005989,0.006768,TP10,delta
28,TP10_delta_max,0.005958,0.006418,TP10,delta
29,TP10_low_gamma_macrofreq,0.005892,0.006126,TP10,low_gamma
30,TP9_low_gamma_macrofreq,0.005834,0.005256,TP9,low_gamma
31,TP9_alpha_macrofreq,0.00554,0.003884,TP9,alpha
32,AF7_alpha_macrofreq,0.005214,0.004278,AF7,alpha
33,AF8_alpha_macrofreq,0.004983,0.003151,AF8,alpha
34,AF8_alpha_std,0.004962,0.008306,AF8,alpha
35,AF8_theta_std,0.004813,0.005738,AF8,theta
36,AF8_alpha_hjorth_act,0.004764,0.007691,AF8,alpha
37,AF8_alpha_max,0.004685,0.007772,AF8,alpha
38,AF8_very_high_macrofreq,0.004679,0.007038,AF8,very_high
39,AF8_theta_max,0.004597,0.005243,AF8,theta
40,AF8_theta_hjorth_act,0.00458,0.005404,AF8,theta
41,TP10_alpha_peakfreq,0.004491,0.004495,TP10,alpha
42,TP9_delta_peakfreq,0.004476,0.004062,TP9,delta
43,AF8_alpha_mean,0.004395,0.006486,AF8,alpha
44,AF8_theta_mean,0.004358,0.004855,AF8,theta
45,AF8_delta_peakfreq,0.004349,0.00278,AF8,delta
46,TP10_high_gamma_macrofreq,0.004306,0.003247,TP10,high_gamma
47,AF8_high_gamma_hjorth_comp,0.00423,0.002758,AF8,high_gamma
48,TP9_alpha_peakfreq,0.004219,0.003705,TP9,alpha
49,TP10_theta_mean,0.004216,0.004094,TP10,theta
50,TP10_theta_max,0.00416,0.004552,TP10,theta
51,AF7_delta_peakfreq,0.004115,0.004165,AF7,delta
52,AF8_high_gamma_hjorth_mob,0.004082,0.002694,AF8,high_gamma
53,TP10_theta_hjorth_comp,0.004065,0.003863,TP10,theta
54,AF8_theta_hjorth_mob,0.004057,0.002313,AF8,theta
55,TP10_theta_hjorth_mob,0.003936,0.002717,TP10,theta
56,AF7_delta_hjorth_mob,0.003927,0.002205,AF7,delta
57,TP9_high_gamma_hjorth_comp,0.003916,0.003553,TP9,high_gamma
58,TP10_high_gamma_hjorth_comp,0.003849,0.002963,TP10,high_gamma
