PID,n_test,n_train,LOGO Accuracy,LOGO Recall (STAY),TN,FP,FN,TP
P04,170,6270,0.5706,0.8353,26,59,14,71
P05,60,6380,0.6,0.8667,10,20,4,26
P06,214,6226,0.6121,0.9346,31,76,7,100
P07,174,6266,0.5517,0.8506,22,65,13,74
P08,280,6160,0.6143,0.9714,36,104,4,136
P09,230,6210,0.6174,0.6957,62,53,35,80
P10,144,6296,0.5347,0.8194,18,54,13,59
P11,316,6124,0.807,0.9557,104,54,7,151
P12,102,6338,0.5882,0.7843,20,31,11,40
P13,186,6254,0.6344,0.7634,47,46,22,71
P14,248,6192,0.5887,0.9194,32,92,10,114
P15,234,6206,0.6966,0.8632,62,55,16,101
P17,544,5896,0.693,0.9485,119,153,14,258
P18,394,6046,0.6574,0.8883,84,113,22,175
P20,338,6102,0.6213,0.9053,57,112,16,153
P21,198,6242,0.5,0.899,10,89,10,89
P22,140,6300,0.7286,0.9571,35,35,3,67
P23,402,6038,0.7239,0.8408,122,79,32,169
P24,434,6006,0.7765,0.8571,151,66,31,186
P25,302,6138,0.7483,0.9868,77,74,2,149
P26,154,6286,0.7662,0.961,44,33,3,74
P27,256,6184,0.6719,0.9453,51,77,7,121
P28,410,6030,0.6024,0.9415,54,151,12,193
P30,224,6216,0.7723,0.8839,74,38,13,99
P31,286,6154,0.6399,0.9091,53,90,13,130
Mean ± SD,,,0.666 ± 0.083,0.887 ± 0.071,,,,
