segment_id,class,timestamp_start,timestamp_end,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma
0,baseline_1,1764170495.035513,1764170585.592653,-0.7071067811865476,0.7071067811865475,0.7071067811865475,0.7071067811865475,0.7071067811865476,0.7071067811865475,0.7071067811865476,-0.7071067811865475,-0.7071067811865476,-0.7071067811865476,0.7071067811865475,0.7071067811865475,0.7071067811865475,-0.7071067811865475,0.7071067811865476,-0.7071067811865476,-0.7071067811865476,-0.7071067811865476,0.7071067811865475,-0.7071067811865476
1,tiktok_over_4s_watched,1764170594.6384015,1764170595.1383865,-22286593285.26682,-4700152292.351463,-249817310330.60635,-2048628630.6367273,-21281837061.774353,-316106533896.4472,-85958822352.52124,-31543179194.1505,-55082041272.66813,10633518633.901869,-47517840868.16499,-16261005436.526625,-289761077917.3042,-34929313370.596825,-21969346017.165314,-9334089447.167738,-42301306561.25211,-31064646873.126904,-24704543436.89088,-90188056253.84593
2,tiktok_over_4s_watched,1764170606.9189892,1764170607.4189606,-2444081656.807146,10258631262.976875,-213945476480.23007,-57244170852.49495,-10877534890.71031,-8406543559.922629,-48446707006.58744,-16816236979.882118,-72487525760.21747,14292787590.017965,-12471565481.245893,-12598338973.369787,-214234736212.2427,-59111385394.90624,-18181779143.5774,4996028167.253041,-129102742552.98819,-9865673001.828568,-16040902294.443455,-5973944499.003149
3,tiktok_over_4s_watched,1764170632.5618346,1764170633.05801,23495813647.42761,226823915746.6019,253965971051.5039,10363345009.968218,-18779762575.316845,864627041827.4586,981287213839.1445,8867765548.527906,-46673668130.8449,44536181049.30899,36923829916.57906,30693847489.505173,47175589467.63319,-67255503089.223915,-8698281014.49739,31798988271.863968,123809398712.39351,24118104523.59387,-4956243577.626761,-123106690155.84735
4,tiktok_over_4s_watched,1764170643.1099863,1764170643.6061225,-3128049489.644463,21263002442.198784,-106847924358.15091,-29897685858.0,-15006376920.362524,-358051107237.3882,-158217148639.93423,18960469057.23396,-68250559900.69751,-15837905916.661306,-18975613006.112267,6891969900.307412,-4716608220.835712,-196200884538.6117,-23808655761.39861,-33946616460.78423,7058339512.237297,7834487468.643455,-18901148172.26098,-240376836208.16623
5,tiktok_over_4s_watched,1764170656.3769655,1764170656.8730862,-24026311078.970272,-41119239236.39027,-139654103845.30948,8163925093.33035,1115631415.3690143,-805439969418.3784,-86071971729.78815,-36901741690.03533,-5749469625.07339,-30244461455.34736,-30823761607.21761,-16349366535.733593,67979988860.81219,13402073922.712847,-7874363499.160988,-43646902396.67813,-39929071653.58714,-2419414520.7753716,-5611317645.628721,61357389662.90776
6,tiktok_over_4s_watched,1764170668.940142,1764170669.4401224,-8594716223.670496,-47046960363.06903,-127703467505.77956,-29131683318.589897,-13955874949.821363,-1477598529853.1636,-992217487419.0823,-70187396879.68053,-39220913505.91851,17761987902.175503,-34634087429.28269,-401479146.8775734,-316753109514.3469,-93352911954.55583,-23374875235.301983,-21283887988.78518,-67005923415.85526,-6748058918.151385,-15664750989.217392,-121843513019.89195
7,tiktok_over_4s_watched,1764170691.1596084,1764170691.6595943,-5179920378.169184,-60318472424.60999,51582382944.62036,4352500018.938721,1286616929.9919112,-235347483834.97083,-318349698263.9697,-45579377033.394356,-48460457372.487885,-78395466614.2766,-29575250128.313877,-44330749453.07462,-285565849544.8778,-192935752344.8092,-32278156373.1335,-35368559595.48782,-138008439159.343,-14789970446.987099,-20239629980.966137,-97249554119.72876
8,tiktok_over_4s_watched,1764170712.909421,1764170713.4094064,-13686069495.711332,-2825000659.210614,-79343905378.79987,5853126336.796962,7813863371.435731,-784133709817.1184,-224742861333.4351,-3470982744.4978943,-15090935046.481586,-77501377859.70242,-11126454242.165207,-8018910658.757804,-311085324593.3879,-96125209839.50743,-23232845733.45283,-23663154257.649296,-76719759191.18277,-11891601331.687355,-9457980571.807907,-66347804934.445595
9,tiktok_over_4s_watched,1764170733.2056386,1764170733.7018027,140890319.63819063,47437246963.447044,32083234806.52315,-37037682825.36099,2970877236.965531,-372072267798.7301,164065498384.048,-2591189330.4591293,-51132425419.40031,-11029503781.159489,-9667093420.173206,2270714424.227573,-46029848055.59959,-86788498691.17422,16670543711.925365,-22816421953.204617,-11292806866.74098,-11698937287.149914,-17889168335.152996,-28332133783.986122
