channel,band,feature,n_over,n_under,median_over,median_under,mean_over,mean_under,std_over,std_under,u_statistic,p_value,p_corrected,significant,effect_size_r,cohens_d,normal_over,normal_under,equal_variance
TP9,delta,TP9_delta,22,35,-9061893405.33001,-8227103875.7606945,-9369336159.436907,-8917714014.808426,11160540109.188204,9559329802.583364,361.0,0.7000808013488893,14.001616026977786,False,0.06233766233766236,0.04427491095479469,False,True,True
TP9,theta,TP9_theta,22,35,-25174678443.049297,-25244927530.481552,-19889837452.600067,-34246633002.61802,75639980418.37167,49594557621.52227,430.0,0.465730811445521,9.31461622891042,False,0.11688311688311681,0.23586401046639274,False,True,True
TP9,alpha,TP9_alpha,22,35,-109776693782.68512,-66480501468.36245,-106924038567.468,-94755996574.82741,131572449649.10275,121196809151.28749,335.0,0.41713443402393935,8.342688680478787,False,0.1298701298701299,0.09714236756175078,True,True,True
TP9,beta,TP9_beta,22,35,1446197945.8921013,4260152642.746392,-4528513327.241392,4070971086.9534535,26893269342.875668,36621131555.12788,330.0,0.3716630255876654,7.433260511753308,False,0.1428571428571429,0.25867383211113737,True,True,True
TP9,gamma,TP9_gamma,22,35,-9653796996.797842,-4296116198.586875,-6687378329.447618,-3615938843.856475,10630092898.939068,12607630503.312311,339.0,0.4557671974787735,9.11534394957547,False,0.11948051948051952,0.2582898343424754,True,True,True
AF7,delta,AF7_delta,22,35,-392209645507.25336,-427285002907.8748,-530352274457.06586,-495562218522.1542,474024787077.33594,323997697176.64777,345.0,0.5173194040628881,10.346388081257762,False,0.10389610389610393,0.08962233296743088,False,True,True
AF7,theta,AF7_theta,22,35,-307062298753.12006,-308932073221.0268,-331279557945.272,-359511358810.0507,466543570461.2135,401462578116.2168,371.0,0.8248653491217453,16.497306982434907,False,0.036363636363636376,0.06604198734180722,True,False,True
AF7,alpha,AF7_alpha,22,35,-30993774964.10598,-31805010930.609272,-36120258209.79958,-33573463475.686413,32355523580.6834,35363370674.92209,379.0,0.9281633612539493,18.563267225078985,False,0.01558441558441559,0.07436741283261562,True,True,True
AF7,beta,AF7_beta,22,35,-34321821724.094025,-14794710354.413198,-25446122214.588375,-9745051762.3687,37651485236.97223,40445490276.49919,270.0,0.06053439814036637,1.2106879628073273,False,0.2987012987012987,0.3984833188249238,True,True,True
AF7,gamma,AF7_gamma,22,35,1603453684.43536,-24798279401.319756,-6761216968.276519,-25988187874.066406,40369375778.8754,42620376731.51478,490.0,0.08671965747985692,1.7343931495971385,False,0.2727272727272727,0.4602482199665902,True,True,True
AF8,delta,AF8_delta,22,35,-19945599535.648132,-24191842240.442608,-24217680796.47384,-25785184301.019268,23256054544.836727,17563852372.693596,404.0,0.7616981860058618,15.233963720117236,False,0.049350649350649256,0.07865030964046693,True,True,True
AF8,theta,AF8_theta,22,35,-16250547099.85981,-13874003065.830511,-13101404012.57262,-15095918452.188839,17797475142.313576,17291088031.709026,393.0,0.9021547632676037,18.043095265352072,False,0.020779220779220786,0.11406241781611386,True,True,True
AF8,alpha,AF8_alpha,22,35,-143838411222.02087,-132952331161.29619,-140686763963.5716,-146857415845.3408,125907922663.11263,108015674240.36516,394.0,0.8891879769802908,17.783759539605818,False,0.023376623376623273,0.05357596115426993,True,True,True
AF8,beta,AF8_beta,22,35,-53779692286.141266,-62428280474.46998,-55936560171.62267,-65829102111.27948,73517200301.12073,70307469070.22427,415.0,0.6286958678034819,12.573917356069638,False,0.07792207792207795,0.13826054838358956,True,True,True
AF8,gamma,AF8_gamma,22,35,-15986083805.619118,-13407522754.806526,-13569737588.814308,-13600640383.118925,14171144643.138735,17379763459.317467,356.0,0.6403773492999817,12.807546985999634,False,0.07532467532467535,0.0019040900981834026,True,True,True
TP10,delta,TP10_delta,22,35,-22050154970.994896,-20851840293.127396,-21453604931.7522,-22132934822.15458,19579511003.971188,15804190508.23231,374.0,0.8633465466942274,17.26693093388455,False,0.02857142857142858,0.03917040089728486,True,True,True
TP10,theta,TP10_theta,22,35,-47201073001.853546,-38702756876.695984,-52216785587.07504,-42160242173.93423,58495278417.730125,44040216273.08126,330.0,0.3716630255876654,7.433260511753308,False,0.1428571428571429,0.20091178811164,False,True,True
TP10,alpha,TP10_alpha,22,35,-11795269309.418634,-9579787798.398014,-11000085816.27173,-12901343504.165422,13869028837.965752,12318856033.938152,385.0,1.0,20.0,False,0.0,0.14701180051447552,True,False,True
TP10,beta,TP10_beta,22,35,-13906354325.472748,-6705062928.310456,-11900502494.225615,-7153803339.290462,9628343202.921959,13705747242.381456,272.0,0.06516898973308534,1.3033797946617067,False,0.2935064935064935,0.3856170273478823,False,True,True
TP10,gamma,TP10_gamma,22,35,-88615234573.37929,-41528334781.06977,-71068580623.26067,-72919965883.68517,112017595591.08063,172346540308.02267,357.0,0.6521486273141965,13.04297254628393,False,0.07272727272727275,0.012167246712499049,True,True,True
