channel,band,feature,n_over,n_under,median_over,median_under,mean_over,mean_under,std_over,std_under,u_statistic,p_value,p_corrected,significant,effect_size_r,cohens_d,normal_over,normal_under,equal_variance
TP9,delta,TP9_delta,22,35,-123642923219.4031,-83750076296.90799,-119373433676.1922,-93868223131.28433,197604090515.0678,123115084576.12871,334.0,0.4077867764234554,8.155735528469108,False,0.1324675324675325,0.16368681188184223,False,True,True
TP9,theta,TP9_theta,22,35,-5528381871.620011,13345476295.545198,-5530149879.523479,6153900898.48453,59290937352.320435,43926516210.68088,292.0,0.12945422337613835,2.589084467522767,False,0.24155844155844153,0.23205969583995747,False,True,True
TP9,alpha,TP9_alpha,22,35,-64177547771.401855,40292911815.952194,-64639396266.25684,-2953613808.4889545,187642715735.08618,238582805588.047,313.0,0.24118655336605177,4.823731067321035,False,0.18701298701298696,0.27972108952856184,True,True,True
TP9,beta,TP9_beta,22,35,-12179956672.267752,34377526594.048904,-7282801246.961793,33599963614.982994,66563039999.605576,56182724632.34394,203.0,0.0029285168202956907,0.05857033640591382,False,0.4727272727272728,0.6773472511795715,True,False,True
TP9,gamma,TP9_gamma,22,35,-254423861.43247515,6448934499.693778,-496233245.095052,6167002093.469063,13229121658.756586,13421987551.170086,281.0,0.08977811106767657,1.7955622213535314,False,0.2701298701298701,0.49916823077117706,True,True,True
AF7,delta,AF7_delta,22,35,-1167523185979.5913,-767137273313.914,-1083519093957.2067,-872461352926.065,1050786910639.7673,681926147513.8602,294.0,0.13794860659530217,2.7589721319060434,False,0.23636363636363633,0.25064637272825163,False,True,True
AF7,theta,AF7_theta,22,35,-306774381803.9824,-204226336186.06448,-279533597303.1152,-204760824965.81046,539433746260.8838,280952304062.35925,330.0,0.3716630255876654,7.433260511753308,False,0.1428571428571429,0.18699008953369076,False,True,True
AF7,alpha,AF7_alpha,22,35,-7264397975.391307,-2342978102.293573,-11830738981.936478,-7040076492.389714,33928997198.680984,21134269513.990112,360.0,0.6879759496227581,13.759518992455162,False,0.06493506493506496,0.17907852421924203,True,True,False
AF7,beta,AF7_beta,22,35,-1966908700.463593,-4153193431.449807,-3386984846.1037846,-3424745252.1711736,10052939982.213263,9598934614.447403,385.0,1.0,20.0,False,0.0,0.003863047621434334,True,True,True
AF7,gamma,AF7_gamma,22,35,-3904855302.2516937,-1077478312.799953,-1434466132.3773642,-2599020197.5800624,23981766192.130463,24105854059.323776,386.0,0.9934606216180273,19.869212432360545,False,0.0025974025974024872,0.04840499684108095,True,True,True
AF8,delta,AF8_delta,22,35,-9664115483.248642,-7171448217.681566,-8333263151.061331,-7754312741.858965,10020097243.358356,7945604382.641363,309.0,0.21586661906645965,4.317332381329193,False,0.19740259740259736,0.0658226002958615,False,False,True
AF8,theta,AF8_theta,22,35,-15782872748.863083,-16827481951.311234,-16207282761.928802,-18928770224.53192,32464970951.481598,27177614921.481133,389.0,0.9542489387554108,19.084978775108215,False,0.010389610389610393,0.09285434754314911,True,True,True
AF8,alpha,AF8_alpha,22,35,-28175968464.82167,-31850843917.167233,-52488388414.28296,-35198166100.457306,81062563574.8777,68513476122.36595,374.0,0.8633465466942274,17.26693093388455,False,0.02857142857142858,0.2350555009789066,True,True,True
AF8,beta,AF8_beta,22,35,-36852306719.1942,-39397717701.66813,-36779304767.73604,-35502550771.60765,55566293590.29073,50702406264.30179,388.0,0.9673118914381924,19.346237828763847,False,0.007792207792207684,0.024267067361265438,True,True,True
AF8,gamma,AF8_gamma,22,35,-9820589759.074512,-7199354688.139618,-9947685304.021477,-6384877388.141794,10542728917.636795,11805782855.29928,325.0,0.3294003284167314,6.588006568334627,False,0.1558441558441559,0.31417670336187836,True,True,True
TP10,delta,TP10_delta,22,35,-117433927841.64175,-110473713930.7124,-106810667486.75504,-101858128249.14651,108819443771.87529,84931639405.1748,343.0,0.49633545859983674,9.926709171996734,False,0.10909090909090913,0.052260854798170414,False,True,True
TP10,theta,TP10_theta,22,35,-31742336669.70697,-14268033739.679527,-18280460092.23344,-18492918568.429005,49601058564.08211,37057273030.93425,352.0,0.5942141517579684,11.884283035159369,False,0.08571428571428574,0.005024067586127124,False,True,True
TP10,alpha,TP10_alpha,22,35,-6178141419.54192,-5418959224.100178,-5863314598.194319,-3407866636.2641997,7080825636.15601,7132964051.703441,320.0,0.2903827504277421,5.807655008554842,False,0.16883116883116878,0.3452007359172161,True,True,True
TP10,beta,TP10_beta,22,35,-8861359411.07285,-1089724844.423285,-8001449066.984608,-1408056625.2253654,11281869052.269289,7778667347.649312,238.0,0.016331390829333315,0.3266278165866663,False,0.38181818181818183,0.7109723239414292,True,False,True
TP10,gamma,TP10_gamma,22,35,-46358972480.18577,3681544451.208545,-51204625573.31341,855056106.8341775,72415425549.8155,81849488846.8465,254.0,0.032423308186433,0.64846616372866,False,0.34025974025974026,0.6641831647448974,True,True,True
