segment_id,class,timestamp_start,timestamp_end,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma
0,baseline_1,1764170495.035513,1764170585.592653,0.7071067811865476,0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,0.7071067811865475,0.7071067811865475,0.7071067811865476,-0.7071067811865476,0.7071067811865476,-0.7071067811865476,0.7071067811865475,-0.7071067811865476,0.7071067811865475,-0.7071067811865476,-0.7071067811865475,0.7071067811865476,0.7071067811865476,-0.7071067811865475
1,tiktok_over_4s_watched,1764170594.6384015,1764170595.6383488,-100076898585.06451,-619063599.0581751,-79623907953.43944,-13497763469.683653,-22247683743.09205,-2164995214203.8552,44957400168.12877,20260482211.757904,-17138479491.762775,-1188854228.0805018,-10146198093.038841,-17225301633.474575,-52182851395.9008,-147438978542.70447,-15922375288.211704,-84101163962.90514,9500911785.374895,-1771524553.790142,10620928309.689075,78885376558.69533
2,tiktok_over_4s_watched,1764170606.9189892,1764170607.91516,-146425713401.82043,7603840344.062121,-113859115631.47229,-18464708779.03728,-10009452810.914858,-585988536309.2639,-92015573508.42328,13808706344.420557,-6971287360.620971,23657240395.531944,-7247927606.540936,18068173302.206833,24820092132.98219,-60039450682.98762,-20400549325.472973,-20170091831.788044,-48762105013.31942,-5010898833.991123,6010322186.67596,21143509621.173546
3,tiktok_over_4s_watched,1764170632.5618346,1764170633.5581875,500642075100.33875,201035119308.2582,260876528402.00592,152085776888.5981,-8245540042.404733,2548384614870.376,1305315670798.0012,9614375596.557003,3994525523.1152453,41954431511.26748,24893035681.46007,69896381937.52351,36761166361.6025,-69597868591.95699,-3463746582.4417677,233226996624.0738,125926472337.64996,9225650293.076984,-863242147.0844016,-165769565608.40527
4,tiktok_over_4s_watched,1764170643.1099863,1764170644.106187,-2740072018.4658585,63443826756.14085,40604043336.16391,21180187665.696148,-19952784833.542595,-1154341508175.7449,-657825177439.7861,-32667656984.07983,-16085669694.533497,-8004329112.451697,2477723158.514177,9955286643.656216,-156535241684.17255,-120650322837.79117,-18551368160.609924,-29303031348.294857,19495567944.843327,-3742734122.9620543,-10122874230.739355,-141770096655.60083
5,tiktok_over_4s_watched,1764170656.3769655,1764170657.3731394,-63431913785.90513,-40254744049.26862,-574343769828.1389,-10862149874.85185,288528511.3025713,-1292228522963.0522,-376160057815.6986,-9004905188.816061,-7525778997.646159,11642962714.387112,-13439775862.72256,-17726266056.68632,17002363186.169361,-39605624650.12179,-29520858833.460384,-109898668599.70401,12019874600.141352,-8762357377.479347,-16871609338.252577,-77760974957.01921
6,tiktok_over_4s_watched,1764170668.940142,1764170669.940097,-149114092670.85718,-36556040339.52468,-71887493391.48892,1031941424.1076745,-2338249661.196303,-2876126106154.4272,-345073363559.05396,-35354390441.310326,-9721816609.465282,-32980595347.870956,-16849319573.426598,20330059106.605755,-79723207823.23979,-81457787695.80534,-23204699594.313293,-177733939597.04907,-68883697087.72685,-12879914954.987013,-11841837480.968853,-24161377223.123844
7,tiktok_over_4s_watched,1764170691.1596084,1764170692.1595984,-200793314448.69983,-50658200992.323364,87314072641.77908,-61877261936.66946,-7788182097.805302,-1078077189360.7067,-268475400048.91083,27600985308.67333,-9685795923.220005,4594280219.832923,-13062094939.080786,-48993380573.045296,3757278966.7728066,43980267288.905426,-25146382513.812042,-131419247465.81956,-7912182410.581365,-19870518229.444042,-37123326332.672005,-128293963815.39285
8,tiktok_over_4s_watched,1764170712.909421,1764170713.909374,-288395463631.8796,8059532271.376589,-157745631442.78366,-87250727966.18376,14083671875.627518,-627773067344.7786,-254378975661.27753,-8498254800.757201,-3052957019.5134254,-23923030424.849663,-5307671662.855618,-54906479368.76551,6650320798.791463,-7417706397.994747,-7504961045.924277,-113842111917.85242,-34827241756.87691,-1998230855.18627,1822839218.5490441,-58757585722.60171
9,tiktok_over_4s_watched,1764170733.2056386,1764170734.201765,-63406368180.66169,-9436344224.317064,32108026050.760853,-148660076945.71722,18136140125.85127,-147987566725.71204,508308357729.52094,34362013582.58974,-5930891525.69375,-5169021930.666846,5369669805.608047,-2355033994.4746513,38754566441.33479,-126326823510.26611,-12531542091.97699,-82596383461.42554,25340154159.504498,-760636502.6891856,-18775381365.819298,47743989907.344826
10,tiktok_over_4s_watched,1764170742.2991874,1764170743.299136,-311487570772.7022,-35636985605.161766,57208101767.63659,23891307634.914936,-23914880120.554283,-1356556926098.687,-1078957321091.2766,-6030541150.025413,967810046.1144264,-7334014011.339579,-5573882160.230307,-65607716036.77049,-99713590463.75795,-23345557299.69232,-5748911327.512961,-65033360908.23358,-45675483111.44759,1778673448.9779594,-16153524017.626154,-74568036241.54964
11,tiktok_over_4s_watched,1764170749.7519526,1764170750.7518888,-172072719232.31836,-13473261365.309242,-192896725245.53973,-78347742650.42978,18007786015.941685,-1180704863783.4377,-110466364128.85838,-50755515741.64602,-19996720523.943546,-8776409800.595734,-13688912005.259436,-8370726232.028472,-150348362989.63812,-68259204484.498634,-2534194044.827454,-121025743765.43108,-69356788518.4188,-11992918950.306622,-28594156817.861782,-33960359237.769825
12,tiktok_over_4s_watched,1764170770.5652409,1764170771.561359,-206622395011.4518,-19512159824.138252,-268975009476.92398,-24134145687.07942,-4316623314.633376,-566656770915.2767,10832325741.292728,-53674879383.065414,3212345538.7973948,-2640688673.8365417,-4186086575.6091423,15470890168.608105,29540966531.10879,52483795668.171936,4699448732.396307,-161813051451.98694,-43232380811.18207,-1208717187.9418366,3618937752.802388,-97359780184.34137
13,tiktok_over_4s_watched,1764170797.9877975,1764170798.9838965,72958584098.91534,15078126038.380562,33013557338.264435,99674598717.66647,8395462886.293373,-226813212421.34363,-598322483328.6335,-364420892.8988576,-18833776960.234562,-21439973516.786755,-9182032873.45844,-14340443864.251589,-66388065717.3105,8975599379.056856,3394728210.005695,-17091899858.355875,27931420692.686768,-206133405.92267466,-7242502215.112181,-139385697338.7028
14,tiktok_over_4s_watched,1764170809.5191543,1764170810.5152595,-115685501871.99355,-84972793899.65845,-132370394841.32843,-57073678930.69903,7271382965.479733,-1569231708480.0781,-372005573319.2878,3942675436.7434354,7164498984.555226,29016482297.81929,-10552937676.490303,-25485279711.26,-4169085533.742542,29171616457.159847,9641998801.058681,-9637451938.808308,-17892964457.636837,-7964861351.507922,-5258247312.750775,-8119380637.060466
15,tiktok_over_4s_watched,1764170827.565778,1764170828.5657575,-567370938763.4071,9729021576.483648,-103080610522.56769,5852780366.147803,-5434743175.095592,-773595314988.7019,-371355169092.31696,13366728497.18549,9605240108.933496,-47021003902.667625,-15677468678.994507,-38079614685.03764,-2869831627.1599555,-200570882.79589462,600614093.7719239,-178492400716.35043,-64688221528.04601,-9823074394.239807,-9666647907.45637,-59952129949.15093
16,tiktok_over_4s_watched,1764170835.6280804,1764170836.628045,-131600344566.81265,-29757302112.27637,-267300766265.24268,-61961346258.285995,18099119201.2473,-1082118614300.4186,-96406431764.77026,-16800645600.28715,7666079302.4661455,16292143520.271252,-7132273924.341263,-9353760310.774334,-121674472741.59515,-48549977205.97691,-20972873375.09717,-126889205012.81535,-31810557243.598846,-7345384005.092717,-10505659841.507153,-193385064575.2076
17,tiktok_over_4s_watched,1764170857.1429462,1764170858.1429236,-287488561370.0829,-79638293995.8907,-312116413264.9636,-3966745047.2953744,6666527814.805007,-1945446373039.7346,-611087504593.6007,-47304065137.66404,250413836.23572648,32113964692.646423,-12183547740.560482,-36337110260.71694,13336953226.4468,-3573570703.5334983,-3634646889.853261,-328556080262.945,-93001476789.55238,-7561962841.796002,-8673094726.812946,-70664097756.61119
18,tiktok_over_4s_watched,1764170882.3138125,1764170883.3137858,-104989695757.28506,16959476092.24374,29984506551.89784,-23853638965.794815,-18233802220.88607,-1830019817879.833,-1414717847666.6074,-57015159542.11665,740907791.3773626,-30094358251.870487,-22042384213.983788,-60758501984.20641,17896227498.665688,-34098988788.2666,-12136218472.224747,-132687178607.77144,56811726074.891136,3947104437.3787794,2144286495.257462,28377612650.548405
19,tiktok_over_4s_watched,1764170886.8136306,1764170887.8136044,-276138636841.1653,2469961926.37771,-56467602151.3148,-20994298253.4028,14837117073.081278,-911890174271.2026,-10015199138.190422,-81478925739.12782,-880860381.4137605,9922374490.472633,-4305360006.022976,-52155212271.11945,-154960301790.97217,-89285508186.09435,-16034177097.216005,-132889819992.57983,-31674116095.815094,-12081428202.28377,-9049624095.332754,31860916312.933872
20,tiktok_over_4s_watched,1764170890.8916082,1764170891.891562,-19763724104.664997,-78779465838.49365,42193650852.898796,94322575058.94409,5662257327.307883,-1600206484428.535,-134168753527.33775,10310916731.937391,16661963032.070423,-12748155547.935244,-7657760341.278877,-3040071599.089418,-163001049088.3437,31084468959.04659,-12585462392.456102,-217816020222.57452,-36603202747.09491,-9016478660.87269,2557584756.7364836,-22548695725.37223
21,tiktok_over_4s_watched,1764170899.2819104,1764170900.2818606,1279638530.5025108,-1620419518.9229586,207539866058.02316,6586194628.515816,914193065.2639229,-2177614071784.72,-440133378474.1892,47026651986.44944,5033590858.248052,30118922434.66797,-20813043406.682495,1934311782.397652,-59466972794.07441,-47883231455.71785,-419779896.7410919,-253617999776.02023,-24824635289.273968,-2710501040.8171263,-11218170299.22985,-16735184182.29336
22,tiktok_over_4s_watched,1764170909.8282456,1764170910.828227,6508086409.253448,34872873701.50335,117758369158.12276,46097294947.37991,-797376234.1675216,-1237432638299.4146,-787588320947.2582,-41620432697.12202,-13987007148.149044,-29550622440.247406,-17023540628.354227,-37480425121.73059,-232231446608.19162,-7109280726.329331,-6873119593.552944,-88446830633.9731,-60051196763.65656,-19236073868.398376,-846880064.1453301,-21321177853.387737
23,tiktok_under_4s_watched,1764170629.4676683,1764170630.4638798,-23619992771.19663,30957416916.057594,258522647695.4844,89682502120.62346,2648700399.7255,-487934000309.1854,-633677659954.19,19910269457.92461,-714554297.6516265,-6684884901.307975,-2059910507.672892,-32272257458.97909,1031399341.9615462,-64296934085.63607,-5254105825.958601,-36397909297.3904,3186212924.2301,-5418959224.100178,4305469024.111202,-85705248081.34723
24,tiktok_under_4s_watched,1764170631.108528,1764170632.104764,22030205618.455708,17963931305.633064,251412152969.53427,-50032085482.22409,-25757817785.49999,-1459222334543.4834,297189728517.1754,29051696938.591118,-12520638980.086296,-35908989751.892,-10500036130.260725,750776110.1384667,-86226151061.56798,-59385953028.59717,-15901216497.01226,-88138213392.11617,-20024257928.85545,-2856128308.5084195,-16229210610.226387,-83030863464.07672
25,tiktok_under_4s_watched,1764170637.625083,1764170638.6212676,43955688008.443436,62550844459.04493,157414238393.57254,47428685695.85312,13810219582.373402,-1406375105624.7703,256653452047.7788,-17721807540.198566,-9467630652.064268,40204834800.515144,-9459592427.322115,15918539664.337269,-175894888417.2816,-110716500240.2588,-6426723942.681817,-39510727448.71,28994623732.76661,1874544235.723818,4448108819.956664,165332480624.57593
