max_depth,min_samples_leaf,n_estimators,mean_inner_recall,pid
3,30,60,0.6548,11
3,30,100,0.6732,11
1,10,30,0.8564,12
1,10,60,0.8497,12
1,10,100,0.8611,12
1,20,30,0.863,12
1,20,60,0.7233,12
1,20,100,0.8094,12
1,30,30,0.7333,12
1,30,60,0.6,12
1,30,100,0.6667,12
2,10,30,0.8564,12
2,10,60,0.8564,12
2,10,100,0.8611,12
2,20,30,0.863,12
2,20,60,0.7233,12
2,20,100,0.8094,12
2,30,30,0.7333,12
2,30,60,0.6,12
2,30,100,0.6667,12
3,10,30,0.8564,12
3,10,60,0.8564,12
3,10,100,0.8611,12
3,20,30,0.863,12
3,20,60,0.7233,12
3,20,100,0.8094,12
3,30,30,0.7333,12
3,30,60,0.6,12
3,30,100,0.6667,12
1,10,30,0.5418,13
1,10,60,0.5882,13
1,10,100,0.6035,13
1,20,30,0.5867,13
1,20,60,0.5647,13
1,20,100,0.6447,13
1,30,30,0.4927,13
1,30,60,0.4927,13
1,30,100,0.5593,13
2,10,30,0.5389,13
2,10,60,0.5741,13
2,10,100,0.5766,13
2,20,30,0.5628,13
2,20,60,0.5812,13
2,20,100,0.6408,13
2,30,30,0.4927,13
2,30,60,0.4927,13
2,30,100,0.5593,13
3,10,30,0.558,13
3,10,60,0.5546,13
3,10,100,0.5764,13
3,20,30,0.5628,13
3,20,60,0.5812,13
3,20,100,0.6408,13
3,30,30,0.4927,13
3,30,60,0.4927,13
3,30,100,0.5593,13
1,10,30,0.4329,14
1,10,60,0.4348,14
1,10,100,0.4053,14
1,20,30,0.3274,14
1,20,60,0.339,14
1,20,100,0.3294,14
1,30,30,0.3014,14
1,30,60,0.3149,14
1,30,100,0.3023,14
2,10,30,0.4295,14
2,10,60,0.4442,14
2,10,100,0.435,14
2,20,30,0.3548,14
2,20,60,0.3517,14
2,20,100,0.3504,14
2,30,30,0.3064,14
2,30,60,0.3269,14
2,30,100,0.3049,14
3,10,30,0.4399,14
3,10,60,0.447,14
3,10,100,0.4617,14
3,20,30,0.3613,14
3,20,60,0.3552,14
3,20,100,0.3529,14
3,30,30,0.3064,14
3,30,60,0.3269,14
3,30,100,0.3049,14
1,10,30,0.5646,15
1,10,60,0.5613,15
1,10,100,0.5381,15
1,20,30,0.4458,15
1,20,60,0.4226,15
1,20,100,0.449,15
1,30,30,0.3851,15
1,30,60,0.374,15
1,30,100,0.3621,15
2,10,30,0.6017,15
2,10,60,0.5943,15
2,10,100,0.5949,15
2,20,30,0.4422,15
2,20,60,0.4288,15
2,20,100,0.4566,15
2,30,30,0.3874,15
2,30,60,0.3761,15
2,30,100,0.3664,15
3,10,30,0.5943,15
3,10,60,0.5889,15
3,10,100,0.5815,15
3,20,30,0.4419,15
3,20,60,0.4163,15
3,20,100,0.4543,15
3,30,30,0.3874,15
3,30,60,0.3761,15
3,30,100,0.3664,15
1,10,30,0.6926,17
1,10,60,0.6686,17
1,10,100,0.6883,17
1,20,30,0.6927,17
1,20,60,0.6741,17
1,20,100,0.6875,17
1,30,30,0.6486,17
1,30,60,0.6418,17
1,30,100,0.6709,17
2,10,30,0.7156,17
2,10,60,0.7212,17
2,10,100,0.7368,17
2,20,30,0.6924,17
2,20,60,0.7126,17
2,20,100,0.7188,17
2,30,30,0.6466,17
2,30,60,0.6514,17
2,30,100,0.6797,17
3,10,30,0.7135,17
3,10,60,0.7056,17
3,10,100,0.7248,17
3,20,30,0.6766,17
3,20,60,0.6954,17
3,20,100,0.7068,17
3,30,30,0.6452,17
3,30,60,0.6502,17
3,30,100,0.6667,17
1,10,30,0.6903,18
1,10,60,0.7004,18
1,10,100,0.7056,18
1,20,30,0.6751,18
1,20,60,0.6823,18
1,20,100,0.7023,18
1,30,30,0.6673,18
1,30,60,0.6969,18
1,30,100,0.7068,18
2,10,30,0.6828,18
2,10,60,0.7077,18
2,10,100,0.7222,18
2,20,30,0.6707,18
2,20,60,0.6889,18
2,20,100,0.7115,18
2,30,30,0.6586,18
2,30,60,0.6905,18
2,30,100,0.7009,18
3,10,30,0.6712,18
3,10,60,0.6915,18
3,10,100,0.6996,18
3,20,30,0.6542,18
3,20,60,0.684,18
3,20,100,0.691,18
3,30,30,0.6563,18
3,30,60,0.6919,18
3,30,100,0.7006,18
1,10,30,0.4958,20
1,10,60,0.4965,20
1,10,100,0.4834,20
1,20,30,0.4836,20
1,20,60,0.4628,20
1,20,100,0.4693,20
1,30,30,0.4613,20
1,30,60,0.3839,20
1,30,100,0.4022,20
2,10,30,0.5109,20
2,10,60,0.5075,20
2,10,100,0.5126,20
2,20,30,0.5013,20
2,20,60,0.4679,20
2,20,100,0.4758,20
2,30,30,0.4824,20
2,30,60,0.402,20
2,30,100,0.4015,20
3,10,30,0.5144,20
3,10,60,0.5266,20
3,10,100,0.5164,20
3,20,30,0.4973,20
3,20,60,0.4754,20
3,20,100,0.4748,20
3,30,30,0.486,20
3,30,60,0.4002,20
3,30,100,0.4013,20
1,10,30,0.3895,21
1,10,60,0.4298,21
1,10,100,0.4097,21
1,20,30,0.4664,21
1,20,60,0.4705,21
1,20,100,0.4496,21
1,30,30,0.4209,21
1,30,60,0.403,21
1,30,100,0.393,21
2,10,30,0.4188,21
2,10,60,0.4429,21
2,10,100,0.4496,21
2,20,30,0.4637,21
2,20,60,0.4729,21
2,20,100,0.4581,21
2,30,30,0.4209,21
2,30,60,0.403,21
2,30,100,0.393,21
3,10,30,0.414,21
3,10,60,0.4492,21
3,10,100,0.4483,21
3,20,30,0.4637,21
3,20,60,0.4729,21
3,20,100,0.4581,21
3,30,30,0.4209,21
3,30,60,0.403,21
3,30,100,0.393,21
1,10,30,0.7594,22
1,10,60,0.7638,22
1,10,100,0.7698,22
1,20,30,0.7166,22
1,20,60,0.7477,22
1,20,100,0.7393,22
1,30,30,0.6667,22
1,30,60,0.6667,22
1,30,100,0.6667,22
2,10,30,0.7509,22
2,10,60,0.7525,22
2,10,100,0.7725,22
2,20,30,0.7083,22
2,20,60,0.7348,22
2,20,100,0.7393,22
2,30,30,0.6667,22
2,30,60,0.6667,22
2,30,100,0.6667,22
3,10,30,0.7307,22
3,10,60,0.7542,22
3,10,100,0.777,22
3,20,30,0.7083,22
3,20,60,0.7348,22
3,20,100,0.7393,22
3,30,30,0.6667,22
3,30,60,0.6667,22
3,30,100,0.6667,22
1,10,30,0.6858,23
1,10,60,0.7099,23
1,10,100,0.7192,23
1,20,30,0.6648,23
1,20,60,0.7051,23
1,20,100,0.7058,23
1,30,30,0.6907,23
1,30,60,0.6966,23
1,30,100,0.7119,23
2,10,30,0.7123,23
2,10,60,0.727,23
2,10,100,0.7393,23
2,20,30,0.6809,23
2,20,60,0.7096,23
2,20,100,0.7118,23
2,30,30,0.6911,23
2,30,60,0.714,23
2,30,100,0.7186,23
3,10,30,0.7332,23
3,10,60,0.7255,23
3,10,100,0.7352,23
3,20,30,0.6862,23
3,20,60,0.7188,23
3,20,100,0.713,23
3,30,30,0.701,23
3,30,60,0.7203,23
3,30,100,0.7212,23
1,10,30,0.8278,24
1,10,60,0.8561,24
1,10,100,0.8678,24
1,20,30,0.8071,24
1,20,60,0.8318,24
1,20,100,0.85,24
1,30,30,0.7165,24
1,30,60,0.7491,24
1,30,100,0.7282,24
2,10,30,0.8554,24
2,10,60,0.8717,24
2,10,100,0.8711,24
2,20,30,0.8137,24
2,20,60,0.8281,24
2,20,100,0.8514,24
2,30,30,0.6957,24
2,30,60,0.7414,24
2,30,100,0.7289,24
3,10,30,0.8416,24
3,10,60,0.8428,24
3,10,100,0.857,24
3,20,30,0.811,24
3,20,60,0.8234,24
3,20,100,0.8436,24
3,30,30,0.7057,24
3,30,60,0.7363,24
3,30,100,0.724,24
1,10,30,0.6805,25
1,10,60,0.6618,25
1,10,100,0.6983,25
1,20,30,0.6462,25
1,20,60,0.639,25
1,20,100,0.6542,25
1,30,30,0.5135,25
1,30,60,0.5015,25
1,30,100,0.5616,25
2,10,30,0.6914,25
2,10,60,0.6926,25
2,10,100,0.7035,25
2,20,30,0.6613,25
2,20,60,0.6442,25
2,20,100,0.642,25
2,30,30,0.5257,25
2,30,60,0.5047,25
2,30,100,0.5606,25
3,10,30,0.6774,25
3,10,60,0.6735,25
3,10,100,0.7042,25
3,20,30,0.6601,25
3,20,60,0.6535,25
3,20,100,0.644,25
3,30,30,0.5257,25
3,30,60,0.5047,25
3,30,100,0.5629,25
1,10,30,0.6229,26
1,10,60,0.6307,26
1,10,100,0.625,26
1,20,30,0.5611,26
1,20,60,0.5583,26
1,20,100,0.5676,26
1,30,30,0.3306,26
1,30,60,0.3583,26
1,30,100,0.3348,26
2,10,30,0.5951,26
2,10,60,0.62,26
2,10,100,0.6255,26
2,20,30,0.565,26
2,20,60,0.5539,26
2,20,100,0.5762,26
2,30,30,0.3306,26
2,30,60,0.3583,26
2,30,100,0.3348,26
3,10,30,0.6189,26
3,10,60,0.629,26
3,10,100,0.6345,26
3,20,30,0.565,26
3,20,60,0.5539,26
3,20,100,0.5762,26
3,30,30,0.3306,26
3,30,60,0.3583,26
3,30,100,0.3348,26
1,10,30,0.6379,27
1,10,60,0.6418,27
1,10,100,0.6531,27
1,20,30,0.5982,27
1,20,60,0.6707,27
1,20,100,0.6774,27
1,30,30,0.5493,27
1,30,60,0.6448,27
1,30,100,0.6588,27
2,10,30,0.6541,27
2,10,60,0.6306,27
2,10,100,0.6768,27
2,20,30,0.5999,27
2,20,60,0.6668,27
2,20,100,0.6668,27
2,30,30,0.5704,27
2,30,60,0.6395,27
2,30,100,0.6503,27
3,10,30,0.6557,27
3,10,60,0.6643,27
3,10,100,0.6842,27
3,20,30,0.6077,27
3,20,60,0.6803,27
3,20,100,0.6832,27
3,30,30,0.5704,27
3,30,60,0.6395,27
3,30,100,0.6503,27
1,10,30,0.6106,28
1,10,60,0.6187,28
1,10,100,0.6084,28
1,20,30,0.6006,28
1,20,60,0.6173,28
1,20,100,0.6169,28
1,30,30,0.5476,28
1,30,60,0.5508,28
1,30,100,0.5434,28
2,10,30,0.6261,28
2,10,60,0.6242,28
2,10,100,0.628,28
2,20,30,0.6413,28
2,20,60,0.6255,28
2,20,100,0.6375,28
2,30,30,0.5609,28
2,30,60,0.5533,28
2,30,100,0.5586,28
3,10,30,0.637,28
3,10,60,0.6415,28
3,10,100,0.6526,28
3,20,30,0.6419,28
3,20,60,0.6292,28
3,20,100,0.63,28
3,30,30,0.5604,28
3,30,60,0.5552,28
3,30,100,0.5598,28
1,10,30,0.69,30
1,10,60,0.6732,30
1,10,100,0.7032,30
1,20,30,0.5767,30
1,20,60,0.5508,30
1,20,100,0.5879,30
1,30,30,0.433,30
1,30,60,0.4331,30
1,30,100,0.4468,30
2,10,30,0.7167,30
2,10,60,0.7111,30
2,10,100,0.7292,30
2,20,30,0.5768,30
2,20,60,0.5529,30
2,20,100,0.6119,30
2,30,30,0.433,30
2,30,60,0.4306,30
2,30,100,0.4468,30
3,10,30,0.7234,30
3,10,60,0.718,30
3,10,100,0.7269,30
3,20,30,0.5796,30
3,20,60,0.5505,30
3,20,100,0.6093,30
3,30,30,0.433,30
3,30,60,0.4306,30
3,30,100,0.4468,30
1,10,30,0.5297,31
1,10,60,0.5519,31
1,10,100,0.5459,31
1,20,30,0.5343,31
1,20,60,0.5616,31
1,20,100,0.5342,31
1,30,30,0.496,31
1,30,60,0.5998,31
1,30,100,0.5206,31
2,10,30,0.541,31
2,10,60,0.5881,31
2,10,100,0.5771,31
2,20,30,0.539,31
2,20,60,0.5868,31
2,20,100,0.5617,31
2,30,30,0.5076,31
2,30,60,0.5909,31
2,30,100,0.5255,31
3,10,30,0.5464,31
3,10,60,0.5894,31
3,10,100,0.572,31
3,20,30,0.5318,31
3,20,60,0.5871,31
3,20,100,0.5594,31
3,30,30,0.5076,31
3,30,60,0.5909,31
3,30,100,0.5255,31
